Source,Target,Title,Year,Citations
0,1,PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
0,2,PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
0,3,PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
1,0,PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
1,2,PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
1,3,PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
2,0,PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
2,1,PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
2,3,PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
3,0,PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
3,1,PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
3,2,PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
4,5,KMC 3: counting and manipulating k-mer statistics,2017.0,nan
4,5,RECKONER: read error corrector based on KMC,2017.0,10.0
4,5,Kmer-db: instant evolutionary distance estimation,2019.0,9.0
4,4581,KMC 3: counting and manipulating k-mer statistics,2017.0,nan
4,4581,Kmer-db: instant evolutionary distance estimation,2019.0,9.0
4,5852,Kmer-db: instant evolutionary distance estimation,2019.0,9.0
4,6947,Kmer-db: instant evolutionary distance estimation,2019.0,9.0
5,4,KMC 3: counting and manipulating k-mer statistics,2017.0,nan
5,4,RECKONER: read error corrector based on KMC,2017.0,10.0
5,4,Kmer-db: instant evolutionary distance estimation,2019.0,9.0
5,900,FaStore: a space-saving solution for raw sequencing data,2018.0,28.0
5,901,FaStore: a space-saving solution for raw sequencing data,2018.0,28.0
5,4581,KMC 3: counting and manipulating k-mer statistics,2017.0,nan
5,4581,Kmer-db: instant evolutionary distance estimation,2019.0,9.0
5,5851,CoMSA: compression of protein multiple sequence alignment files,2019.0,4.0
