Source,Target,Type,Id,Label,timeset,Weight
0,1,Undirected,13248,,,2
0,2,Undirected,13249,,,2
0,3,Undirected,13250,,,2
1,2,Undirected,13252,,,2
1,3,Undirected,13253,,,2
2,3,Undirected,13256,,,2
4,5,Undirected,13260,,,4
4,1839,Undirected,13261,,,2
5,1839,Undirected,13263,,,2
6,7,Undirected,13264,,,2
6,8,Undirected,13265,,,2
6,9,Undirected,13266,,,2
6,10,Undirected,13267,,,2
7,8,Undirected,13269,,,2
7,9,Undirected,13270,,,2
7,10,Undirected,13271,,,2
8,9,Undirected,13274,,,2
8,10,Undirected,13275,,,2
9,10,Undirected,13279,,,2
11,12,Undirected,13284,,,2
11,13,Undirected,13285,,,2
11,14,Undirected,13286,,,2
11,15,Undirected,13287,,,2
12,13,Undirected,13289,,,2
12,14,Undirected,13290,,,2
12,15,Undirected,13291,,,2
13,14,Undirected,13294,,,2
13,15,Undirected,13295,,,2
14,15,Undirected,13299,,,2
16,17,Undirected,13304,,,2
18,19,Undirected,13306,,,2
20,21,Undirected,13308,,,2
20,22,Undirected,13309,,,2
20,23,Undirected,13310,,,2
20,24,Undirected,13311,,,2
21,22,Undirected,13313,,,2
21,23,Undirected,13314,,,2
21,24,Undirected,13315,,,2
22,23,Undirected,13318,,,2
22,24,Undirected,13319,,,2
23,24,Undirected,13323,,,2
25,26,Undirected,13328,,,4
25,173,Undirected,13329,,,2
25,174,Undirected,13330,,,2
26,173,Undirected,13332,,,2
26,174,Undirected,13333,,,2
27,28,Undirected,13334,,,2
29,30,Undirected,13336,,,2
29,31,Undirected,13337,,,2
29,32,Undirected,13338,,,2
29,33,Undirected,13339,,,2
30,31,Undirected,13341,,,2
30,32,Undirected,13342,,,2
30,33,Undirected,13343,,,2
31,32,Undirected,13346,,,2
31,33,Undirected,13347,,,2
31,1017,Undirected,13348,,,4
31,1643,Undirected,13349,,,4
32,33,Undirected,13353,,,2
34,35,Undirected,13358,,,2
34,36,Undirected,13359,,,2
35,36,Undirected,13361,,,2
36,2014,Undirected,13364,,,2
36,2015,Undirected,13365,,,2
36,2016,Undirected,13366,,,2
36,2017,Undirected,13367,,,2
37,38,Undirected,13368,,,2
37,1961,Undirected,13369,,,2
37,1962,Undirected,13370,,,2
37,1963,Undirected,13371,,,2
37,1964,Undirected,13372,,,2
38,633,Undirected,13374,,,2
38,634,Undirected,13375,,,2
39,40,Undirected,13376,,,4
39,2711,Undirected,13377,,,2
39,2712,Undirected,13378,,,2
39,2713,Undirected,13379,,,2
41,42,Undirected,13381,,,2
41,43,Undirected,13382,,,2
42,43,Undirected,13384,,,2
43,2018,Undirected,13387,,,2
43,2019,Undirected,13388,,,2
44,45,Undirected,13389,,,2
44,46,Undirected,13390,,,2
44,47,Undirected,13391,,,2
44,48,Undirected,13392,,,2
45,46,Undirected,13394,,,2
45,47,Undirected,13395,,,2
45,48,Undirected,13396,,,2
46,47,Undirected,13399,,,2
46,48,Undirected,13400,,,2
47,48,Undirected,13404,,,2
49,50,Undirected,13409,,,2
49,51,Undirected,13410,,,2
50,51,Undirected,13412,,,2
52,53,Undirected,13415,,,2
52,54,Undirected,13416,,,2
52,55,Undirected,13417,,,2
53,54,Undirected,13419,,,2
53,55,Undirected,13420,,,2
54,55,Undirected,13423,,,2
56,57,Undirected,13427,,,4
56,58,Undirected,13428,,,4
56,59,Undirected,13429,,,2
56,60,Undirected,13430,,,4
56,822,Undirected,13431,,,2
57,58,Undirected,13433,,,4
57,59,Undirected,13434,,,2
57,60,Undirected,13435,,,4
57,822,Undirected,13436,,,2
58,59,Undirected,13439,,,2
58,60,Undirected,13440,,,4
58,822,Undirected,13441,,,2
59,60,Undirected,13445,,,2
60,822,Undirected,13450,,,2
61,62,Undirected,13451,,,2
61,63,Undirected,13452,,,2
61,64,Undirected,13453,,,2
61,65,Undirected,13454,,,2
62,63,Undirected,13456,,,2
62,64,Undirected,13457,,,2
62,65,Undirected,13458,,,2
63,64,Undirected,13461,,,2
63,65,Undirected,13462,,,2
64,65,Undirected,13466,,,2
66,67,Undirected,13471,,,2
67,2419,Undirected,13473,,,2
68,69,Undirected,13474,,,2
68,70,Undirected,13475,,,2
68,71,Undirected,13476,,,2
68,72,Undirected,13477,,,2
69,70,Undirected,13479,,,2
69,71,Undirected,13480,,,2
69,72,Undirected,13481,,,2
70,71,Undirected,13484,,,2
70,72,Undirected,13485,,,2
71,72,Undirected,13489,,,2
73,74,Undirected,13494,,,2
73,75,Undirected,13495,,,2
73,76,Undirected,13496,,,2
73,77,Undirected,13497,,,2
74,75,Undirected,13499,,,2
74,76,Undirected,13500,,,2
74,77,Undirected,13501,,,2
75,76,Undirected,13504,,,2
75,77,Undirected,13505,,,2
76,77,Undirected,13509,,,2
77,2338,Undirected,13514,,,2
77,2339,Undirected,13515,,,2
78,79,Undirected,13516,,,2
78,80,Undirected,13517,,,2
78,81,Undirected,13518,,,2
78,82,Undirected,13519,,,2
79,80,Undirected,13521,,,2
79,81,Undirected,13522,,,2
79,82,Undirected,13523,,,2
80,81,Undirected,13526,,,2
80,82,Undirected,13527,,,2
81,82,Undirected,13531,,,2
83,84,Undirected,13536,,,2
83,85,Undirected,13537,,,2
83,86,Undirected,13538,,,2
84,85,Undirected,13540,,,2
84,86,Undirected,13541,,,2
85,86,Undirected,13544,,,2
87,88,Undirected,13548,,,2
89,90,Undirected,13550,,,2
89,91,Undirected,13551,,,2
89,92,Undirected,13552,,,2
89,93,Undirected,13553,,,2
90,91,Undirected,13555,,,2
90,92,Undirected,13556,,,2
90,93,Undirected,13557,,,2
91,92,Undirected,13560,,,2
91,93,Undirected,13561,,,2
92,93,Undirected,13565,,,2
93,1936,Undirected,13570,,,2
93,1937,Undirected,13571,,,2
94,95,Undirected,13572,,,2
94,96,Undirected,13573,,,2
95,96,Undirected,13575,,,2
97,98,Undirected,13578,,,2
97,99,Undirected,13579,,,2
97,100,Undirected,13580,,,2
97,101,Undirected,13581,,,2
98,99,Undirected,13583,,,2
98,100,Undirected,13584,,,4
98,101,Undirected,13585,,,2
98,2197,Undirected,13586,,,2
98,2198,Undirected,13587,,,2
98,2199,Undirected,13588,,,2
99,100,Undirected,13591,,,2
99,101,Undirected,13592,,,2
100,101,Undirected,13596,,,2
100,1137,Undirected,13597,,,2
100,1138,Undirected,13598,,,2
100,1139,Undirected,13599,,,2
100,1140,Undirected,13600,,,2
100,2197,Undirected,13601,,,2
100,2198,Undirected,13602,,,2
100,2199,Undirected,13603,,,2
102,103,Undirected,13608,,,2
102,104,Undirected,13609,,,2
103,104,Undirected,13611,,,2
105,106,Undirected,13614,,,2
107,108,Undirected,13616,,,2
107,109,Undirected,13617,,,2
107,110,Undirected,13618,,,2
108,109,Undirected,13620,,,2
108,110,Undirected,13621,,,4
108,1248,Undirected,13622,,,2
108,1608,Undirected,13623,,,2
108,1609,Undirected,13624,,,2
109,110,Undirected,13627,,,2
110,271,Undirected,13631,,,2
110,272,Undirected,13632,,,2
110,1248,Undirected,13633,,,2
110,2832,Undirected,13634,,,2
110,2833,Undirected,13635,,,2
111,112,Undirected,13636,,,2
111,113,Undirected,13637,,,2
111,114,Undirected,13638,,,2
112,113,Undirected,13640,,,2
112,114,Undirected,13641,,,2
113,114,Undirected,13644,,,2
115,116,Undirected,13648,,,2
115,117,Undirected,13649,,,2
115,118,Undirected,13650,,,2
115,119,Undirected,13651,,,2
116,117,Undirected,13653,,,2
116,118,Undirected,13654,,,2
116,119,Undirected,13655,,,2
117,118,Undirected,13658,,,2
117,119,Undirected,13659,,,2
118,119,Undirected,13663,,,2
120,121,Undirected,13668,,,2
120,122,Undirected,13669,,,2
120,123,Undirected,13670,,,2
120,124,Undirected,13671,,,2
121,122,Undirected,13673,,,2
121,123,Undirected,13674,,,2
121,124,Undirected,13675,,,2
122,123,Undirected,13678,,,2
