Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,modularity_class,componentnumber,clustering,triangles
0,,,3,6,1,1,1,0,0,0.333333,0,0,0,0,0,1,3
1,,,3,6,1,1,1,0,0,0.333333,0,0,0,0,0,1,3
2,,,3,6,1,1,1,0,0,0.333333,0,0,0,0,0,1,3
3,,,3,6,1,1,1,0,0,0.333333,0,0,0,0,0,1,3
4,,,2,6,1,1,1,0,0,0.5,0,0,0,1,1,1,1
5,,,2,6,1,1,1,0,0,0.5,0,0,0,1,1,1,1
1839,,,2,4,1,1,1,0,0,0.5,0,0,0,1,1,1,1
6,,,4,8,1,1,1,0,0,0.25,0,0,0,2,2,1,6
7,,,4,8,1,1,1,0,0,0.25,0,0,0,2,2,1,6
8,,,4,8,1,1,1,0,0,0.25,0,0,0,2,2,1,6
9,,,4,8,1,1,1,0,0,0.25,0,0,0,2,2,1,6
10,,,4,8,1,1,1,0,0,0.25,0,0,0,2,2,1,6
11,,,4,8,1,1,1,0,0,0.25,0,0,0,3,3,1,6
12,,,4,8,1,1,1,0,0,0.25,0,0,0,3,3,1,6
13,,,4,8,1,1,1,0,0,0.25,0,0,0,3,3,1,6
14,,,4,8,1,1,1,0,0,0.25,0,0,0,3,3,1,6
15,,,4,8,1,1,1,0,0,0.25,0,0,0,3,3,1,6
16,,,1,2,1,1,1,0,0,1,0,0,0,4,4,0,0
17,,,1,2,1,1,1,0,0,1,0,0,0,4,4,0,0
18,,,1,2,1,1,1,0,0,1,0,0,0,5,5,0,0
19,,,1,2,1,1,1,0,0,1,0,0,0,5,5,0,0
20,,,4,8,1,1,1,0,0,0.25,0,0,0,6,6,1,6
21,,,4,8,1,1,1,0,0,0.25,0,0,0,6,6,1,6
22,,,4,8,1,1,1,0,0,0.25,0,0,0,6,6,1,6
23,,,4,8,1,1,1,0,0,0.25,0,0,0,6,6,1,6
24,,,4,8,1,1,1,0,0,0.25,0,0,0,6,6,1,6
25,,,3,8,2,0.8,0.875,0,0,0.363636,0,0,0,7,7,1,3
26,,,3,8,2,0.8,0.875,0,0,0.363636,0,0,0,7,7,1,3
173,,,4,8,1,1,1,3,0.000001,0.125,0,0,0,7,7,0.5,3
174,,,3,6,2,0.8,0.875,0,0,0.363636,0,0,0,7,7,1,3
27,,,1,2,1,1,1,0,0,1,0,0,0,8,8,0,0
28,,,1,2,1,1,1,0,0,1,0,0,0,8,8,0,0
29,,,4,8,3,0.571429,0.708333,0,0,0.272727,0,0,0,9,9,1,6
30,,,4,8,3,0.571429,0.708333,0,0,0.272727,0,0,0,9,9,1,6
31,,,6,16,2,0.8,0.875,16,0.000004,0.095238,0,0,0,9,9,0.466667,7
32,,,4,8,3,0.571429,0.708333,0,0,0.272727,0,0,0,9,9,1,6
33,,,4,8,3,0.571429,0.708333,0,0,0.272727,0,0,0,9,9,1,6
1017,,,4,12,2,0.666667,0.75,12,0.000003,0.15,0,0,0,9,9,0.333333,2
1643,,,2,8,2,0.571429,0.625,0,0,1.2,0,0,0,9,9,1,1
34,,,2,4,2,0.6,0.666667,0,0,0.75,0,0,0,10,10,1,1
35,,,2,4,2,0.6,0.666667,0,0,0.75,0,0,0,10,10,1,1
36,,,6,12,1,1,1,8,0.000002,0.083333,0,0,0,10,10,0.466667,7
2014,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,10,10,1,6
2015,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,10,10,1,6
2016,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,10,10,1,6
2017,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,10,10,1,6
37,,,5,10,2,0.777778,0.857143,12,0.000003,0.15,0,0,0,11,11,0.6,6
38,,,3,6,2,0.636364,0.714286,10,0.000002,0.277778,0.000001,0,0,11,11,0.333333,1
1961,,,4,8,3,0.583333,0.738095,0,0,0.263158,0,0,0,11,11,1,6
1962,,,4,8,3,0.583333,0.738095,0,0,0.263158,0,0,0,11,11,1,6
1963,,,4,8,3,0.583333,0.738095,0,0,0.263158,0,0,0,11,11,1,6
1964,,,4,8,3,0.583333,0.738095,0,0,0.263158,0,0,0,11,11,1,6
633,,,2,4,3,0.4375,0.547619,0,0,0.6,0,0,0,11,11,1,1
634,,,2,4,3,0.4375,0.547619,0,0,0.6,0,0,0,11,11,1,1
39,,,4,10,1,1,1,3,0.000001,0.125,0,0,0,12,12,0.5,3
40,,,1,4,2,0.571429,0.625,0,0,4,0,0,0,12,12,0,0
2711,,,3,6,2,0.8,0.875,0,0,0.363636,0,0,0,12,12,1,3
2712,,,3,6,2,0.8,0.875,0,0,0.363636,0,0,0,12,12,1,3
2713,,,3,6,2,0.8,0.875,0,0,0.363636,0,0,0,12,12,1,3
41,,,2,4,2,0.666667,0.75,0,0,0.666667,0,0,0,13,13,1,1
42,,,2,4,2,0.666667,0.75,0,0,0.666667,0,0,0,13,13,1,1
43,,,4,8,1,1,1,4,0.000001,0.125,0,0,0,13,13,0.333333,2
2018,,,2,4,2,0.666667,0.75,0,0,0.666667,0,0,0,13,13,1,1
2019,,,2,4,2,0.666667,0.75,0,0,0.666667,0,0,0,13,13,1,1
44,,,4,8,1,1,1,0,0,0.25,0,0,0,14,14,1,6
45,,,4,8,1,1,1,0,0,0.25,0,0,0,14,14,1,6
46,,,4,8,1,1,1,0,0,0.25,0,0,0,14,14,1,6
47,,,4,8,1,1,1,0,0,0.25,0,0,0,14,14,1,6
48,,,4,8,1,1,1,0,0,0.25,0,0,0,14,14,1,6
49,,,2,4,1,1,1,0,0,0.5,0,0,0,15,15,1,1
50,,,2,4,1,1,1,0,0,0.5,0,0,0,15,15,1,1
