Id,Label,timeset,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,authority,hub,modularity_class,componentnumber,clustering,triangles,eigencentrality
0,,,3,6,1,1,1,0,0,0.333333,0,0,0,0,0,1,3,0.048801
1,,,3,6,1,1,1,0,0,0.333333,0,0,0,0,0,1,3,0.048801
2,,,3,6,1,1,1,0,0,0.333333,0,0,0,0,0,1,3,0.048801
3,,,3,6,1,1,1,0,0,0.333333,0,0,0,0,0,1,3,0.048801
4,,,2,6,1,1,1,0,0,0.5,0,0,0,1,1,1,1,0.015859
5,,,2,6,1,1,1,0,0,0.5,0,0,0,1,1,1,1,0.015859
1839,,,2,4,1,1,1,0,0,0.5,0,0,0,1,1,1,1,0.015859
6,,,4,8,1,1,1,0,0,0.25,0,0,0,2,2,1,6,0.131514
7,,,4,8,1,1,1,0,0,0.25,0,0,0,2,2,1,6,0.131514
8,,,4,8,1,1,1,0,0,0.25,0,0,0,2,2,1,6,0.131514
9,,,4,8,1,1,1,0,0,0.25,0,0,0,2,2,1,6,0.131514
10,,,4,8,1,1,1,0,0,0.25,0,0,0,2,2,1,6,0.131514
11,,,4,8,1,1,1,0,0,0.25,0,0,0,3,3,1,6,0.131514
12,,,4,8,1,1,1,0,0,0.25,0,0,0,3,3,1,6,0.131514
13,,,4,8,1,1,1,0,0,0.25,0,0,0,3,3,1,6,0.131514
14,,,4,8,1,1,1,0,0,0.25,0,0,0,3,3,1,6,0.131514
15,,,4,8,1,1,1,0,0,0.25,0,0,0,3,3,1,6,0.131514
16,,,1,2,1,1,1,0,0,1,0,0,0,4,4,0,0,0.003804
17,,,1,2,1,1,1,0,0,1,0,0,0,4,4,0,0,0.003804
18,,,1,2,1,1,1,0,0,1,0,0,0,5,5,0,0,0.003804
19,,,1,2,1,1,1,0,0,1,0,0,0,5,5,0,0,0.003804
20,,,4,8,1,1,1,0,0,0.25,0,0,0,6,6,1,6,0.131514
21,,,4,8,1,1,1,0,0,0.25,0,0,0,6,6,1,6,0.131514
22,,,4,8,1,1,1,0,0,0.25,0,0,0,6,6,1,6,0.131514
23,,,4,8,1,1,1,0,0,0.25,0,0,0,6,6,1,6,0.131514
24,,,4,8,1,1,1,0,0,0.25,0,0,0,6,6,1,6,0.131514
25,,,3,8,2,0.8,0.875,0,0,0.363636,0,0,0,7,7,1,3,0.054839
26,,,3,8,2,0.8,0.875,0,0,0.363636,0,0,0,7,7,1,3,0.054839
173,,,4,8,1,1,1,3,0.000001,0.125,0,0,0,7,7,0.5,3,0.060232
174,,,3,6,2,0.8,0.875,0,0,0.363636,0,0,0,7,7,1,3,0.054839
27,,,1,2,1,1,1,0,0,1,0,0,0,8,8,0,0,0.003804
28,,,1,2,1,1,1,0,0,1,0,0,0,8,8,0,0,0.003804
29,,,4,8,3,0.571429,0.708333,0,0,0.272727,0,0,0,9,9,1,6,0.162475
30,,,4,8,3,0.571429,0.708333,0,0,0.272727,0,0,0,9,9,1,6,0.162475
31,,,6,16,2,0.8,0.875,16,0.000004,0.095238,0,0,0,9,9,0.466667,7,0.197097
32,,,4,8,3,0.571429,0.708333,0,0,0.272727,0,0,0,9,9,1,6,0.162475
33,,,4,8,3,0.571429,0.708333,0,0,0.272727,0,0,0,9,9,1,6,0.162475
1017,,,4,12,2,0.666667,0.75,12,0.000003,0.15,0,0,0,9,9,0.333333,2,0.090474
1643,,,2,8,2,0.571429,0.625,0,0,1.2,0,0,0,9,9,1,1,0.072408
34,,,2,4,2,0.6,0.666667,0,0,0.75,0,0,0,10,10,1,1,0.061085
35,,,2,4,2,0.6,0.666667,0,0,0.75,0,0,0,10,10,1,1,0.061085
36,,,6,12,1,1,1,8,0.000002,0.083333,0,0,0,10,10,0.466667,7,0.182876
2014,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,10,10,1,6,0.157107
2015,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,10,10,1,6,0.157107
2016,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,10,10,1,6,0.157107
2017,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,10,10,1,6,0.157107
37,,,5,10,2,0.777778,0.857143,12,0.000003,0.15,0,0,0,11,11,0.6,6,0.159645
38,,,3,6,2,0.636364,0.714286,10,0.000002,0.277778,0.000001,0,0,11,11,0.333333,1,0.059969
1961,,,4,8,3,0.583333,0.738095,0,0,0.263158,0,0,0,11,11,1,6,0.14585
1962,,,4,8,3,0.583333,0.738095,0,0,0.263158,0,0,0,11,11,1,6,0.14585
1963,,,4,8,3,0.583333,0.738095,0,0,0.263158,0,0,0,11,11,1,6,0.14585
1964,,,4,8,3,0.583333,0.738095,0,0,0.263158,0,0,0,11,11,1,6,0.14585
633,,,2,4,3,0.4375,0.547619,0,0,0.6,0,0,0,11,11,1,1,0.028066
634,,,2,4,3,0.4375,0.547619,0,0,0.6,0,0,0,11,11,1,1,0.028066
39,,,4,10,1,1,1,3,0.000001,0.125,0,0,0,12,12,0.5,3,0.060232
40,,,1,4,2,0.571429,0.625,0,0,4,0,0,0,12,12,0,0,0.019662
2711,,,3,6,2,0.8,0.875,0,0,0.363636,0,0,0,12,12,1,3,0.054839
2712,,,3,6,2,0.8,0.875,0,0,0.363636,0,0,0,12,12,1,3,0.054839
2713,,,3,6,2,0.8,0.875,0,0,0.363636,0,0,0,12,12,1,3,0.054839
41,,,2,4,2,0.666667,0.75,0,0,0.666667,0,0,0,13,13,1,1,0.026203
42,,,2,4,2,0.666667,0.75,0,0,0.666667,0,0,0,13,13,1,1,0.026203
43,,,4,8,1,1,1,4,0.000001,0.125,0,0,0,13,13,0.333333,2,0.041385
2018,,,2,4,2,0.666667,0.75,0,0,0.666667,0,0,0,13,13,1,1,0.026203
2019,,,2,4,2,0.666667,0.75,0,0,0.666667,0,0,0,13,13,1,1,0.026203
44,,,4,8,1,1,1,0,0,0.25,0,0,0,14,14,1,6,0.131514
45,,,4,8,1,1,1,0,0,0.25,0,0,0,14,14,1,6,0.131514
46,,,4,8,1,1,1,0,0,0.25,0,0,0,14,14,1,6,0.131514
47,,,4,8,1,1,1,0,0,0.25,0,0,0,14,14,1,6,0.131514
48,,,4,8,1,1,1,0,0,0.25,0,0,0,14,14,1,6,0.131514
49,,,2,4,1,1,1,0,0,0.5,0,0,0,15,15,1,1,0.015859
50,,,2,4,1,1,1,0,0,0.5,0,0,0,15,15,1,1,0.015859
51,,,2,4,1,1,1,0,0,0.5,0,0,0,15,15,1,1,0.015859
52,,,3,6,1,1,1,0,0,0.333333,0,0,0,16,16,1,3,0.048801
53,,,3,6,1,1,1,0,0,0.333333,0,0,0,16,16,1,3,0.048801
54,,,3,6,1,1,1,0,0,0.333333,0,0,0,16,16,1,3,0.048801
55,,,3,6,1,1,1,0,0,0.333333,0,0,0,16,16,1,3,0.048801
56,,,5,16,1,1,1,0.25,0,0.181818,0,0,0,17,17,0.9,9,0.262906
57,,,5,16,1,1,1,0.25,0,0.181818,0,0,0,17,17,0.9,9,0.262906
58,,,5,16,1,1,1,0.25,0,0.181818,0,0,0,17,17,0.9,9,0.262906
59,,,4,8,2,0.833333,0.9,0,0,0.3125,0,0,0,17,17,1,6,0.223554
60,,,5,16,1,1,1,0.25,0,0.181818,0,0,0,17,17,0.9,9,0.262906
822,,,4,8,2,0.833333,0.9,0,0,0.3125,0,0,0,17,17,1,6,0.223554
61,,,4,8,1,1,1,0,0,0.25,0,0,0,18,18,1,6,0.131514
62,,,4,8,1,1,1,0,0,0.25,0,0,0,18,18,1,6,0.131514
63,,,4,8,1,1,1,0,0,0.25,0,0,0,18,18,1,6,0.131514
64,,,4,8,1,1,1,0,0,0.25,0,0,0,18,18,1,6,0.131514
65,,,4,8,1,1,1,0,0,0.25,0,0,0,18,18,1,6,0.131514
66,,,1,2,2,0.666667,0.75,0,0,2,0,0,0,19,19,0,0,0.006113
67,,,2,4,1,1,1,1,0,0.25,0,0,0,19,19,0,0,0.008996
2419,,,1,2,2,0.666667,0.75,0,0,2,0,0,0,19,19,0,0,0.006113
68,,,4,8,1,1,1,0,0,0.25,0,0,0,20,20,1,6,0.131514
69,,,4,8,1,1,1,0,0,0.25,0,0,0,20,20,1,6,0.131514
70,,,4,8,1,1,1,0,0,0.25,0,0,0,20,20,1,6,0.131514
71,,,4,8,1,1,1,0,0,0.25,0,0,0,20,20,1,6,0.131514
72,,,4,8,1,1,1,0,0,0.25,0,0,0,20,20,1,6,0.131514
73,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,21,21,1,6,0.157107
74,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,21,21,1,6,0.157107
75,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,21,21,1,6,0.157107
76,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,21,21,1,6,0.157107
77,,,6,12,1,1,1,8,0.000002,0.083333,0,0,0,21,21,0.466667,7,0.182876
2338,,,2,4,2,0.6,0.666667,0,0,0.75,0,0,0,21,21,1,1,0.061085
2339,,,2,4,2,0.6,0.666667,0,0,0.75,0,0,0,21,21,1,1,0.061085
78,,,4,8,1,1,1,0,0,0.25,0,0,0,22,22,1,6,0.131514
79,,,4,8,1,1,1,0,0,0.25,0,0,0,22,22,1,6,0.131514
80,,,4,8,1,1,1,0,0,0.25,0,0,0,22,22,1,6,0.131514
81,,,4,8,1,1,1,0,0,0.25,0,0,0,22,22,1,6,0.131514
82,,,4,8,1,1,1,0,0,0.25,0,0,0,22,22,1,6,0.131514
83,,,3,6,1,1,1,0,0,0.333333,0,0,0,23,23,1,3,0.048801
84,,,3,6,1,1,1,0,0,0.333333,0,0,0,23,23,1,3,0.048801
85,,,3,6,1,1,1,0,0,0.333333,0,0,0,23,23,1,3,0.048801
86,,,3,6,1,1,1,0,0,0.333333,0,0,0,23,23,1,3,0.048801
87,,,1,2,1,1,1,0,0,1,0,0,0,24,24,0,0,0.003804
88,,,1,2,1,1,1,0,0,1,0,0,0,24,24,0,0,0.003804
89,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,25,25,1,6,0.157107
90,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,25,25,1,6,0.157107
91,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,25,25,1,6,0.157107
92,,,4,8,2,0.75,0.833333,0,0,0.272727,0,0,0,25,25,1,6,0.157107
93,,,6,12,1,1,1,8,0.000002,0.083333,0,0,0,25,25,0.466667,7,0.182876
1936,,,2,4,2,0.6,0.666667,0,0,0.75,0,0,0,25,25,1,1,0.061085
1937,,,2,4,2,0.6,0.666667,0,0,0.75,0,0,0,25,25,1,1,0.061085
94,,,2,4,1,1,1,0,0,0.5,0,0,0,26,26,1,1,0.015859
95,,,2,4,1,1,1,0,0,0.5,0,0,0,26,26,1,1,0.015859
96,,,2,4,1,1,1,0,0,0.5,0,0,0,26,26,1,1,0.015859
97,,,4,8,2,0.611111,0.681818,0,0,0.340708,0,0,0,27,27,1,6,0.410182
98,,,7,16,2,0.733333,0.818182,4.5,0.000001,0.089796,0,0,0,27,27,0.571429,12,0.600668
99,,,4,8,2,0.611111,0.681818,0,0,0.340708,0,0,0,27,27,1,6,0.410182
100,,,11,24,1,1,1,32.5,0.000008,0.034398,0,0,0,27,27,0.327273,18,0.818543
101,,,4,8,2,0.611111,0.681818,0,0,0.340708,0,0,0,27,27,1,6,0.410182
2197,,,4,8,2,0.611111,0.681818,0,0,0.340708,0,0,0,27,27,1,6,0.410182
2198,,,4,8,2,0.611111,0.681818,0,0,0.340708,0,0,0,27,27,1,6,0.410182
2199,,,4,8,2,0.611111,0.681818,0,0,0.340708,0,0,0,27,27,1,6,0.410182
1137,,,4,8,2,0.611111,0.681818,0,0,0.297297,0,0,0,27,27,1,6,0.344637
1138,,,4,8,2,0.611111,0.681818,0,0,0.297297,0,0,0,27,27,1,6,0.344637
1139,,,4,8,2,0.611111,0.681818,0,0,0.297297,0,0,0,27,27,1,6,0.344637
1140,,,4,8,2,0.611111,0.681818,0,0,0.297297,0,0,0,27,27,1,6,0.344637
102,,,2,4,1,1,1,0,0,0.5,0,0,0,28,28,1,1,0.015859
103,,,2,4,1,1,1,0,0,0.5,0,0,0,28,28,1,1,0.015859
104,,,2,4,1,1,1,0,0,0.5,0,0,0,28,28,1,1,0.015859
105,,,1,2,1,1,1,0,0,1,0,0,0,29,29,0,0,0.003804
106,,,1,2,1,1,1,0,0,1,0,0,0,29,29,0,0,0.003804
107,,,3,6,3,0.482759,0.559524,0,0,0.533333,0,0,0,30,30,1,3,0.139942
108,,,6,14,3,0.538462,0.666667,25,0.000006,0.072727,0,0,0,30,30,0.333333,5,0.186542
109,,,3,6,3,0.482759,0.559524,0,0,0.533333,0,0,0,30,30,1,3,0.139942
110,,,8,18,2,0.7,0.785714,61,0.000015,0.041667,0.000001,0,0,30,30,0.214286,6,0.262303
1248,,,2,4,3,0.466667,0.52381,0,0,1.714286,0,0,0,30,30,1,1,0.106834
1608,,,2,4,4,0.368421,0.452381,0,0,0.75,0,0,0,30,30,1,1,0.06173
1609,,,2,4,4,0.368421,0.452381,0,0,0.75,0,0,0,30,30,1,1,0.06173
