Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,modularity_class,componentnumber,clustering,triangles,eigencentrality
0,,,4,8,1,1,1,0,0,0.25,0,0,0,0,0,1,6,0.069495
1,,,4,8,1,1,1,0,0,0.25,0,0,0,0,0,1,6,0.069495
2,,,4,8,1,1,1,0,0,0.25,0,0,0,0,0,1,6,0.069495
3,,,4,8,1,1,1,0,0,0.25,0,0,0,0,0,1,6,0.069495
4,,,4,8,1,1,1,0,0,0.25,0,0,0,0,0,1,6,0.069495
5,,,2,4,1,1,1,0,0,0.5,0,0,0,1,1,1,1,0.01058
6,,,2,4,1,1,1,0,0,0.5,0,0,0,1,1,1,1,0.01058
7,,,2,4,1,1,1,0,0,0.5,0,0,0,1,1,1,1,0.01058
8,,,4,8,1,1,1,0,0,0.25,0,0,0,2,2,1,6,0.069495
9,,,4,8,1,1,1,0,0,0.25,0,0,0,2,2,1,6,0.069495
10,,,4,8,1,1,1,0,0,0.25,0,0,0,2,2,1,6,0.069495
11,,,4,8,1,1,1,0,0,0.25,0,0,0,2,2,1,6,0.069495
12,,,4,8,1,1,1,0,0,0.25,0,0,0,2,2,1,6,0.069495
13,,,3,6,1,1,1,0,0,0.333333,0,0,0,3,3,1,3,0.028902
14,,,3,6,1,1,1,0,0,0.333333,0,0,0,3,3,1,3,0.028902
15,,,3,6,1,1,1,0,0,0.333333,0,0,0,3,3,1,3,0.028902
16,,,3,6,1,1,1,0,0,0.333333,0,0,0,3,3,1,3,0.028902
17,,,2,4,1,1,1,0,0,0.5,0,0,0,4,4,1,1,0.01058
18,,,2,4,1,1,1,0,0,0.5,0,0,0,4,4,1,1,0.01058
19,,,2,4,1,1,1,0,0,0.5,0,0,0,4,4,1,1,0.01058
20,,,3,6,1,1,1,0,0,0.333333,0,0,0,5,5,1,3,0.028902
21,,,3,6,1,1,1,0,0,0.333333,0,0,0,5,5,1,3,0.028902
22,,,3,6,1,1,1,0,0,0.333333,0,0,0,5,5,1,3,0.028902
23,,,3,6,1,1,1,0,0,0.333333,0,0,0,5,5,1,3,0.028902
24,,,3,6,1,1,1,0,0,0.333333,0,0,0,6,6,1,3,0.028902
25,,,3,6,1,1,1,0,0,0.333333,0,0,0,6,6,1,3,0.028902
26,,,3,6,1,1,1,0,0,0.333333,0,0,0,6,6,1,3,0.028902
27,,,3,6,1,1,1,0,0,0.333333,0,0,0,6,6,1,3,0.028902
28,,,4,8,1,1,1,0,0,0.25,0,0,0,7,7,1,6,0.069495
29,,,4,8,1,1,1,0,0,0.25,0,0,0,7,7,1,6,0.069495
30,,,4,8,1,1,1,0,0,0.25,0,0,0,7,7,1,6,0.069495
31,,,4,8,1,1,1,0,0,0.25,0,0,0,7,7,1,6,0.069495
32,,,4,8,1,1,1,0,0,0.25,0,0,0,7,7,1,6,0.069495
33,,,4,8,2,0.666667,0.75,0,0,0.285714,0,0,0,8,8,1,6,0.109291
34,,,8,16,1,1,1,16,0.000002,0.0625,0,0,0,8,8,0.428571,12,0.186588
35,,,4,8,2,0.666667,0.75,0,0,0.285714,0,0,0,8,8,1,6,0.109291
36,,,4,8,2,0.666667,0.75,0,0,0.285714,0,0,0,8,8,1,6,0.109291
37,,,4,8,2,0.666667,0.75,0,0,0.285714,0,0,0,8,8,1,6,0.109291
3255,,,4,8,2,0.666667,0.75,0,0,0.285714,0,0,0,8,8,1,6,0.109291
3256,,,4,8,2,0.666667,0.75,0,0,0.285714,0,0,0,8,8,1,6,0.109291
3257,,,4,8,2,0.666667,0.75,0,0,0.285714,0,0,0,8,8,1,6,0.109291
3258,,,4,8,2,0.666667,0.75,0,0,0.285714,0,0,0,8,8,1,6,0.109291
38,,,3,10,1,1,1,0,0,0.333333,0,0,0,9,9,1,3,0.028902
39,,,3,10,1,1,1,0,0,0.333333,0,0,0,9,9,1,3,0.028902
