Source,Target,Type,Id,Label,timeset,Weight
0,1,Undirected,0,,,2
0,2,Undirected,1,,,2
0,3,Undirected,2,,,2
1,2,Undirected,4,,,2
1,3,Undirected,5,,,2
2,3,Undirected,8,,,2
4,5,Undirected,12,,,6
4,4581,Undirected,13,,,4
4,5852,Undirected,14,,,2
4,6947,Undirected,15,,,2
5,900,Undirected,17,,,2
5,901,Undirected,18,,,2
5,4581,Undirected,19,,,4
5,5851,Undirected,20,,,4
5,5852,Undirected,21,,,4
5,5853,Undirected,22,,,2
5,6933,Undirected,23,,,2
5,6947,Undirected,24,,,6
5,7864,Undirected,25,,,2
6,7,Undirected,26,,,2
6,8,Undirected,27,,,2
6,9,Undirected,28,,,2
6,10,Undirected,29,,,2
7,8,Undirected,31,,,2
7,9,Undirected,32,,,2
7,10,Undirected,33,,,2
7,2269,Undirected,34,,,2
7,3340,Undirected,35,,,2
7,3341,Undirected,36,,,2
7,3342,Undirected,37,,,2
7,3343,Undirected,38,,,2
7,5562,Undirected,39,,,2
7,5563,Undirected,40,,,2
7,7950,Undirected,41,,,2
7,8545,Undirected,42,,,2
7,8546,Undirected,43,,,2
8,9,Undirected,46,,,2
8,10,Undirected,47,,,2
9,10,Undirected,51,,,2
11,12,Undirected,56,,,2
11,13,Undirected,57,,,2
11,14,Undirected,58,,,2
11,15,Undirected,59,,,2
12,13,Undirected,61,,,2
12,14,Undirected,62,,,2
12,15,Undirected,63,,,2
13,14,Undirected,66,,,2
13,15,Undirected,67,,,2
14,15,Undirected,71,,,2
16,17,Undirected,76,,,2
18,19,Undirected,78,,,2
19,1169,Undirected,80,,,2
19,1170,Undirected,81,,,2
19,1171,Undirected,82,,,2
19,12409,Undirected,83,,,2
19,12410,Undirected,84,,,2
20,21,Undirected,85,,,4
20,22,Undirected,86,,,2
20,23,Undirected,87,,,2
20,24,Undirected,88,,,2
20,4899,Undirected,89,,,2
20,11495,Undirected,90,,,2
20,11496,Undirected,91,,,2
21,22,Undirected,93,,,2
21,23,Undirected,94,,,2
21,24,Undirected,95,,,2
21,4899,Undirected,96,,,2
21,11495,Undirected,97,,,2
21,11496,Undirected,98,,,2
22,23,Undirected,101,,,2
22,24,Undirected,102,,,2
23,24,Undirected,106,,,2
25,26,Undirected,111,,,6
25,188,Undirected,112,,,2
25,189,Undirected,113,,,2
25,5836,Undirected,114,,,2
26,188,Undirected,116,,,2
26,189,Undirected,117,,,2
26,5836,Undirected,118,,,4
26,7602,Undirected,119,,,2
26,8440,Undirected,120,,,2
26,11357,Undirected,121,,,2
26,12225,Undirected,122,,,2
27,28,Undirected,123,,,2
29,30,Undirected,125,,,2
29,31,Undirected,126,,,2
29,32,Undirected,127,,,2
29,33,Undirected,128,,,2
30,31,Undirected,130,,,2
30,32,Undirected,131,,,2
30,33,Undirected,132,,,2
31,32,Undirected,135,,,2
31,33,Undirected,136,,,2
31,3822,Undirected,137,,,4
31,4404,Undirected,138,,,4
32,33,Undirected,142,,,2
34,35,Undirected,147,,,2
34,36,Undirected,148,,,2
35,36,Undirected,150,,,2
36,4748,Undirected,153,,,2
36,4749,Undirected,154,,,2
36,4750,Undirected,155,,,2
36,4751,Undirected,156,,,2
37,38,Undirected,157,,,4
37,4696,Undirected,158,,,2
37,4697,Undirected,159,,,2
37,4698,Undirected,160,,,2
37,4699,Undirected,161,,,2
38,696,Undirected,163,,,2
38,697,Undirected,164,,,2
38,1678,Undirected,165,,,2
38,1679,Undirected,166,,,2
38,2938,Undirected,167,,,2
39,40,Undirected,168,,,4
39,2025,Undirected,169,,,2
39,5408,Undirected,170,,,2
39,5409,Undirected,171,,,2
41,42,Undirected,173,,,2
41,43,Undirected,174,,,2
41,7608,Undirected,175,,,2
41,7609,Undirected,176,,,2
41,7610,Undirected,177,,,2
41,7611,Undirected,178,,,2
42,43,Undirected,180,,,2
43,4752,Undirected,183,,,2
43,4753,Undirected,184,,,2
44,45,Undirected,185,,,2
44,46,Undirected,186,,,2
44,47,Undirected,187,,,2
44,48,Undirected,188,,,2
45,46,Undirected,190,,,2
45,47,Undirected,191,,,2
45,48,Undirected,192,,,2
46,47,Undirected,195,,,2
46,48,Undirected,196,,,2
47,48,Undirected,200,,,2
49,50,Undirected,205,,,2
49,51,Undirected,206,,,2
50,51,Undirected,208,,,2
52,53,Undirected,211,,,2
52,54,Undirected,212,,,2
52,55,Undirected,213,,,2
53,54,Undirected,215,,,2
53,55,Undirected,216,,,2
54,55,Undirected,219,,,2
56,57,Undirected,223,,,4
56,58,Undirected,224,,,4
56,59,Undirected,225,,,2
56,60,Undirected,226,,,6
56,2403,Undirected,227,,,2
56,2941,Undirected,228,,,2
57,58,Undirected,230,,,4
57,59,Undirected,231,,,2
57,60,Undirected,232,,,4
57,2941,Undirected,233,,,2
58,59,Undirected,236,,,2
58,60,Undirected,237,,,4
58,2941,Undirected,238,,,2
59,60,Undirected,242,,,2
60,2403,Undirected,247,,,2
60,2941,Undirected,248,,,2
61,62,Undirected,249,,,4
61,63,Undirected,250,,,4
61,64,Undirected,251,,,2
61,65,Undirected,252,,,4
61,7689,Undirected,253,,,2
61,9449,Undirected,254,,,2
61,9450,Undirected,255,,,2
61,9451,Undirected,256,,,2
61,9452,Undirected,257,,,2
62,63,Undirected,259,,,4
62,64,Undirected,260,,,2
62,65,Undirected,261,,,4
62,7689,Undirected,262,,,2
63,64,Undirected,265,,,2
63,65,Undirected,266,,,4
63,7689,Undirected,267,,,2
64,65,Undirected,271,,,2
65,7342,Undirected,276,,,2
65,7343,Undirected,277,,,2
65,7344,Undirected,278,,,2
65,7689,Undirected,279,,,2
66,67,Undirected,280,,,2
66,68,Undirected,281,,,2
66,69,Undirected,282,,,2
66,70,Undirected,283,,,2
67,68,Undirected,285,,,4
67,69,Undirected,286,,,2
67,70,Undirected,287,,,4
67,2486,Undirected,288,,,2
67,2487,Undirected,289,,,2
68,69,Undirected,292,,,2
68,70,Undirected,293,,,4
68,2486,Undirected,294,,,2
68,2487,Undirected,295,,,2
69,70,Undirected,299,,,2
70,2486,Undirected,304,,,2
70,2487,Undirected,305,,,2
71,72,Undirected,306,,,2
72,5141,Undirected,308,,,2
73,74,Undirected,309,,,2
73,75,Undirected,310,,,2
73,76,Undirected,311,,,2
73,77,Undirected,312,,,2
74,75,Undirected,314,,,2
74,76,Undirected,315,,,2
74,77,Undirected,316,,,2
75,76,Undirected,319,,,2
75,77,Undirected,320,,,2
76,77,Undirected,324,,,2
78,79,Undirected,329,,,2
78,80,Undirected,330,,,2
78,81,Undirected,331,,,2
78,82,Undirected,332,,,2
79,80,Undirected,334,,,2
79,81,Undirected,335,,,2
79,82,Undirected,336,,,2
80,81,Undirected,339,,,2
80,82,Undirected,340,,,2
81,82,Undirected,344,,,2
82,5062,Undirected,349,,,2
82,5063,Undirected,350,,,2
83,84,Undirected,351,,,2
83,85,Undirected,352,,,2
83,86,Undirected,353,,,2
83,87,Undirected,354,,,2
84,85,Undirected,356,,,2
84,86,Undirected,357,,,2
84,87,Undirected,358,,,2
85,86,Undirected,361,,,2
85,87,Undirected,362,,,2
86,87,Undirected,366,,,2
88,89,Undirected,371,,,2
88,90,Undirected,372,,,2
88,91,Undirected,373,,,2
89,90,Undirected,375,,,2
89,91,Undirected,376,,,2
90,91,Undirected,379,,,2
92,93,Undirected,383,,,2
94,95,Undirected,385,,,2
94,96,Undirected,386,,,2
94,97,Undirected,387,,,2
94,98,Undirected,388,,,2
94,1549,Undirected,389,,,2
94,1975,Undirected,390,,,2
94,12691,Undirected,391,,,2
94,12692,Undirected,392,,,2
94,12693,Undirected,393,,,2
94,12694,Undirected,394,,,2
94,12712,Undirected,395,,,2
95,96,Undirected,397,,,2
95,97,Undirected,398,,,2
95,98,Undirected,399,,,2
96,97,Undirected,402,,,2
96,98,Undirected,403,,,2
97,98,Undirected,407,,,2
99,100,Undirected,412,,,2
99,101,Undirected,413,,,2
99,102,Undirected,414,,,2
99,103,Undirected,415,,,2
100,101,Undirected,417,,,2
100,102,Undirected,418,,,2
100,103,Undirected,419,,,2
101,102,Undirected,422,,,2
101,103,Undirected,423,,,2
102,103,Undirected,427,,,2
103,114,Undirected,432,,,2
103,277,Undirected,433,,,2
103,2719,Undirected,434,,,10
103,2720,Undirected,435,,,10
103,2721,Undirected,436,,,4
103,2722,Undirected,437,,,4
103,11746,Undirected,438,,,2
103,11747,Undirected,439,,,2
103,11748,Undirected,440,,,2
103,13067,Undirected,441,,,2
103,13272,Undirected,442,,,2
103,13273,Undirected,443,,,2
104,105,Undirected,444,,,2
104,106,Undirected,445,,,4
105,106,Undirected,447,,,2
107,108,Undirected,450,,,2
107,109,Undirected,451,,,2
107,110,Undirected,452,,,2
107,111,Undirected,453,,,4
107,6074,Undirected,454,,,4
107,6075,Undirected,455,,,2
107,6076,Undirected,456,,,4
107,6471,Undirected,457,,,2
107,6472,Undirected,458,,,2
108,109,Undirected,460,,,2
108,110,Undirected,461,,,4
108,111,Undirected,462,,,2
108,4924,Undirected,463,,,2
108,4925,Undirected,464,,,2
108,4926,Undirected,465,,,2
109,110,Undirected,468,,,2
109,111,Undirected,469,,,2
110,111,Undirected,473,,,2
110,1990,Undirected,474,,,2
110,3936,Undirected,475,,,4
110,3937,Undirected,476,,,2
110,3938,Undirected,477,,,2
110,3939,Undirected,478,,,4
110,4924,Undirected,479,,,2
110,4925,Undirected,480,,,2
110,4926,Undirected,481,,,2
110,7421,Undirected,482,,,2
110,13013,Undirected,483,,,2
110,13014,Undirected,484,,,2
110,13015,Undirected,485,,,2
110,13204,Undirected,486,,,2
110,13205,Undirected,487,,,2
110,13206,Undirected,488,,,2
110,13207,Undirected,489,,,2
111,2289,Undirected,494,,,2
111,2291,Undirected,495,,,2
111,2503,Undirected,496,,,4
111,3026,Undirected,497,,,2
111,6074,Undirected,498,,,2
111,6075,Undirected,499,,,2
111,6076,Undirected,500,,,2
111,9465,Undirected,501,,,2
111,9466,Undirected,502,,,2
112,113,Undirected,503,,,2
112,114,Undirected,504,,,2
113,114,Undirected,506,,,2
114,2719,Undirected,510,,,6
114,2720,Undirected,511,,,6
114,2721,Undirected,512,,,2
114,2722,Undirected,513,,,2
114,5020,Undirected,514,,,2
114,6070,Undirected,515,,,2
114,6073,Undirected,516,,,2
114,10948,Undirected,517,,,2
114,11058,Undirected,518,,,2
114,12950,Undirected,519,,,2
114,13067,Undirected,520,,,2
115,116,Undirected,521,,,4
115,7841,Undirected,522,,,2
115,7842,Undirected,523,,,2
117,118,Undirected,525,,,2
117,119,Undirected,526,,,2
117,120,Undirected,527,,,8
117,1360,Undirected,528,,,4
117,1391,Undirected,529,,,2
117,1791,Undirected,530,,,4
117,2925,Undirected,531,,,2
117,2926,Undirected,532,,,2
117,3271,Undirected,533,,,2
117,6633,Undirected,534,,,2
117,9492,Undirected,535,,,2
117,9493,Undirected,536,,,2
118,119,Undirected,538,,,2
118,120,Undirected,539,,,8
118,2017,Undirected,540,,,2
118,2018,Undirected,541,,,2
118,2019,Undirected,542,,,2
118,3199,Undirected,543,,,2
118,3200,Undirected,544,,,2
118,3201,Undirected,545,,,2
118,3272,Undirected,546,,,2
118,4021,Undirected,547,,,2
118,4369,Undirected,548,,,2
118,4370,Undirected,549,,,4
118,7117,Undirected,550,,,2
118,11035,Undirected,551,,,2
118,11036,Undirected,552,,,2
118,12625,Undirected,553,,,2
118,12868,Undirected,554,,,2
118,12869,Undirected,555,,,2
118,12870,Undirected,556,,,2
119,120,Undirected,559,,,2
120,298,Undirected,563,,,2
120,299,Undirected,564,,,6
120,1360,Undirected,565,,,2
120,1791,Undirected,566,,,4
120,2017,Undirected,567,,,2
120,2018,Undirected,568,,,2
120,2019,Undirected,569,,,2
120,2244,Undirected,570,,,2
120,3271,Undirected,571,,,2
120,3272,Undirected,572,,,2
120,4021,Undirected,573,,,2
120,6633,Undirected,574,,,2
120,6895,Undirected,575,,,2
120,7117,Undirected,576,,,2
120,7540,Undirected,577,,,2
120,7541,Undirected,578,,,2
120,8696,Undirected,579,,,2
120,9492,Undirected,580,,,2
120,9493,Undirected,581,,,2
120,10922,Undirected,582,,,2
120,10923,Undirected,583,,,2
121,122,Undirected,584,,,2
121,123,Undirected,585,,,2
121,124,Undirected,586,,,2
122,123,Undirected,588,,,2
122,124,Undirected,589,,,2
122,10464,Undirected,590,,,2
122,10465,Undirected,591,,,2
122,10466,Undirected,592,,,2
123,124,Undirected,595,,,2
123,853,Undirected,596,,,2
123,854,Undirected,597,,,2
123,855,Undirected,598,,,2
125,126,Undirected,602,,,4
125,127,Undirected,603,,,4
125,128,Undirected,604,,,6
125,129,Undirected,605,,,4
125,5566,Undirected,606,,,2
125,5567,Undirected,607,,,2
125,7387,Undirected,608,,,2
126,127,Undirected,610,,,4
126,128,Undirected,611,,,4
126,129,Undirected,612,,,4
126,5564,Undirected,613,,,2
126,5565,Undirected,614,,,2
126,5566,Undirected,615,,,2
126,5567,Undirected,616,,,2
127,128,Undirected,619,,,4
127,129,Undirected,620,,,4
127,10018,Undirected,621,,,2
127,10020,Undirected,622,,,2
127,13051,Undirected,623,,,2
128,129,Undirected,627,,,4
128,5566,Undirected,628,,,2
128,5567,Undirected,629,,,2
128,7387,Undirected,630,,,2
130,131,Undirected,635,,,2
130,132,Undirected,636,,,2
130,133,Undirected,637,,,2
130,134,Undirected,638,,,2
131,132,Undirected,640,,,2
131,133,Undirected,641,,,2
131,134,Undirected,642,,,2
131,10432,Undirected,643,,,2
131,10433,Undirected,644,,,2
132,133,Undirected,647,,,2
132,134,Undirected,648,,,2
133,134,Undirected,652,,,2
135,136,Undirected,657,,,2
135,137,Undirected,658,,,2
135,138,Undirected,659,,,2
135,139,Undirected,660,,,2
136,137,Undirected,662,,,2
136,138,Undirected,663,,,2
136,139,Undirected,664,,,2
137,138,Undirected,667,,,2
137,139,Undirected,668,,,2
138,139,Undirected,672,,,2
140,141,Undirected,677,,,2
140,142,Undirected,678,,,2
140,143,Undirected,679,,,2
140,144,Undirected,680,,,2
141,142,Undirected,682,,,2
141,143,Undirected,683,,,2
141,144,Undirected,684,,,2
142,143,Undirected,687,,,2
142,144,Undirected,688,,,2
143,144,Undirected,692,,,2
144,856,Undirected,697,,,2
144,857,Undirected,698,,,2
145,146,Undirected,699,,,2
147,148,Undirected,701,,,2
147,149,Undirected,702,,,2
147,150,Undirected,703,,,2
147,151,Undirected,704,,,2
148,149,Undirected,706,,,2
148,150,Undirected,707,,,2
148,151,Undirected,708,,,2
149,150,Undirected,711,,,2
149,151,Undirected,712,,,2
150,151,Undirected,716,,,2
152,153,Undirected,721,,,2
152,154,Undirected,722,,,2
152,155,Undirected,723,,,2
152,156,Undirected,724,,,2
153,154,Undirected,726,,,2
153,155,Undirected,727,,,2
153,156,Undirected,728,,,14
153,1376,Undirected,729,,,2
153,1725,Undirected,730,,,2
153,2742,Undirected,731,,,2
153,4512,Undirected,732,,,2
153,4826,Undirected,733,,,6
153,6041,Undirected,734,,,6
153,6534,Undirected,735,,,2
153,6535,Undirected,736,,,2
153,8007,Undirected,737,,,2
153,8553,Undirected,738,,,2
153,8554,Undirected,739,,,2
153,9949,Undirected,740,,,2
153,9950,Undirected,741,,,2
153,10986,Undirected,742,,,2
153,11474,Undirected,743,,,2
154,155,Undirected,746,,,2
154,156,Undirected,747,,,2
155,156,Undirected,751,,,2
156,464,Undirected,756,,,2
156,465,Undirected,757,,,2
156,466,Undirected,758,,,2
156,467,Undirected,759,,,2
156,1374,Undirected,760,,,2
156,1375,Undirected,761,,,2
156,1376,Undirected,762,,,4
156,2742,Undirected,763,,,2
156,4826,Undirected,764,,,6
156,4827,Undirected,765,,,2
156,6041,Undirected,766,,,6
156,6534,Undirected,767,,,2
156,6535,Undirected,768,,,2
156,8007,Undirected,769,,,2
156,8553,Undirected,770,,,2
156,8554,Undirected,771,,,2
156,11474,Undirected,772,,,2
157,158,Undirected,773,,,2
157,159,Undirected,774,,,2
157,160,Undirected,775,,,2
157,161,Undirected,776,,,2
158,159,Undirected,778,,,2
158,160,Undirected,779,,,2
158,161,Undirected,780,,,2
158,448,Undirected,781,,,2
