Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,componentnumber,modularity_class,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,clustering,triangles,eigencentrality
0,,,3,6,1,1,1,0,0,0,0,0,0,0.333333,0,1,3,0.007127
1,,,3,6,1,1,1,0,0,0,0,0,0,0.333333,0,1,3,0.007127
2,,,3,6,1,1,1,0,0,0,0,0,0,0.333333,0,1,3,0.007127
3,,,3,6,1,1,1,0,0,0,0,0,0,0.333333,0,1,3,0.007127
4,,,4,14,21,0.086562,0.096247,0,0,0,1,0,0,0.326087,0,1,6,0.02378
5,,,10,34,20,0.094753,0.108947,32971,0.000002,0.000002,1,0,0.000367,0.043993,0.000016,0.288889,13,0.063887
4581,,,4,12,21,0.086562,0.096247,0,0,0,1,0,0,0.326087,0,1,6,0.02378
5852,,,6,14,21,0.086577,0.096801,9,0,0,1,0,0,0.1341,0,0.6,9,0.031991
6947,,,4,12,21,0.086562,0.096247,0,0,0,1,0,0,0.326087,0,1,6,0.02378
900,,,14,40,20,0.094861,0.110342,116083.5,0.000004,0.000004,1,0,0.00129,0.020852,0.000027,0.197802,18,0.089403
901,,,17,46,19,0.104439,0.122856,194476.5,0.000016,0.000016,1,0,0.002162,0.011715,0.000025,0.169118,23,0.104786
5851,,,4,10,21,0.086572,0.096469,3,0,0,1,0,0,0.274869,0,0.666667,4,0.02332
5853,,,7,14,21,0.08658,0.096968,12017,0,0,1,0,0.000134,0.040623,0.000005,0.190476,4,0.027317
6933,,,2,4,21,0.086557,0.095915,0,0,0,1,0,0,1.428571,0,1,1,0.013932
7864,,,3,6,20,0.094721,0.107561,0,0.000002,0.000002,1,0,0,1.447689,0,1,3,0.037406
6,,,4,8,23,0.092694,0.104883,0,0.000008,0.000008,1,5,0,0.304348,0,1,6,0.027693
7,,,14,28,22,0.10215,0.120585,166564.637586,0.000063,0.000063,1,5,0.001852,0.023778,0.000044,0.230769,21,0.104347
8,,,4,8,23,0.092694,0.104883,0,0.000008,0.000008,1,5,0,0.304348,0,1,6,0.027693
9,,,4,8,23,0.092694,0.104883,0,0.000008,0.000008,1,5,0,0.304348,0,1,6,0.027693
10,,,4,8,23,0.092694,0.104883,0,0.000008,0.000008,1,5,0,0.304348,0,1,6,0.027693
2269,,,9,18,23,0.101588,0.121659,58008.929862,0.000014,0.000014,1,5,0.000645,0.053299,0.000034,0.388889,14,0.111673
3340,,,7,16,23,0.101167,0.119775,34516.09639,0.000013,0.000013,1,5,0.000384,0.135678,0.000052,0.619048,13,0.099253
3341,,,4,8,23,0.096375,0.110839,0,0.00001,0.00001,1,5,0,0.456522,0,1,6,0.046644
3342,,,4,8,23,0.096375,0.110839,0,0.00001,0.00001,1,5,0,0.456522,0,1,6,0.046644
3343,,,12,26,23,0.101205,0.120856,67500.09639,0.000014,0.000014,1,5,0.00075,0.035274,0.000026,0.287879,19,0.118779
5562,,,2,4,22,0.099467,0.112341,0,0.000052,0.000052,1,12,0,2.1,0,1,1,0.020069
5563,,,6,12,21,0.108212,0.123587,163860.445234,0.000485,0.000485,1,12,0.001821,0.115226,0.00021,0.466667,7,0.038801
7950,,,8,16,23,0.096797,0.112834,12012,0.00001,0.00001,1,5,0.000134,0.080255,0.000011,0.428571,12,0.058554
8545,,,8,16,23,0.097576,0.115068,42903.314063,0.00001,0.00001,1,5,0.000477,0.092699,0.000044,0.428571,12,0.070787
8546,,,4,8,23,0.096785,0.112168,0,0.000009,0.000009,1,5,0,0.577982,0,1,6,0.045336
11,,,4,8,1,1,1,0,0,0,2,0,0,0.25,0,1,6,0.012906
12,,,4,8,1,1,1,0,0,0,2,0,0,0.25,0,1,6,0.012906
13,,,4,8,1,1,1,0,0,0,2,0,0,0.25,0,1,6,0.012906
14,,,4,8,1,1,1,0,0,0,2,0,0,0.25,0,1,6,0.012906
15,,,4,8,1,1,1,0,0,0,2,0,0,0.25,0,1,6,0.012906
16,,,1,2,1,1,1,0,0,0,3,0,0,1,0,0,0,0.00128
17,,,1,2,1,1,1,0,0,0,3,0,0,1,0,0,0,0.00128
18,,,1,2,3,0.434783,0.483333,0,0,0,4,0,0,6,0,0,0,0.004014
19,,,6,12,2,0.714286,0.8,23,0,0,4,0,0,0.059322,0,0.266667,4,0.016626
1169,,,3,6,2,0.588235,0.65,0,0,0,4,0,0,0.518519,0,1,3,0.012
1170,,,7,14,2,0.769231,0.85,24,0,0,4,0,0,0.077922,0,0.428571,9,0.023933
1171,,,3,6,2,0.588235,0.65,0,0,0,4,0,0,0.518519,0,1,3,0.012
12409,,,2,4,3,0.454545,0.533333,0,0,0,4,0,0,0.75,0,1,1,0.006061
12410,,,2,4,3,0.454545,0.533333,0,0,0,4,0,0,0.75,0,1,1,0.006061
20,,,7,16,6,0.286713,0.413008,55.5,0,0,5,0,0.000001,0.102564,0,0.571429,12,0.037039
21,,,7,16,6,0.286713,0.413008,55.5,0,0,5,0,0.000001,0.102564,0,0.571429,12,0.037039
22,,,4,8,7,0.227778,0.316028,0,0,0,5,0,0,0.318182,0,1,6,0.020639
23,,,4,8,7,0.227778,0.316028,0,0,0,5,0,0,0.318182,0,1,6,0.020639
24,,,4,8,7,0.227778,0.316028,0,0,0,5,0,0,0.318182,0,1,6,0.020639
4899,,,8,16,5,0.353448,0.472358,330,0,0,5,0,0.000004,0.081395,0,0.428571,12,0.044018
11495,,,8,16,6,0.288732,0.425203,148,0,0,5,0,0.000002,0.075269,0,0.428571,12,0.039505
11496,,,4,8,6,0.280822,0.376423,0,0,0,5,0,0,0.466667,0,1,6,0.026799
25,,,4,12,25,0.092407,0.106295,250.338095,0.000084,0.000084,1,28,0.000003,0.285714,0.000001,0.666667,4,0.025619
26,,,8,22,24,0.100077,0.116543,111667.422749,0.00064,0.00064,1,28,0.001241,0.05744,0.000071,0.285714,8,0.042418
188,,,12,24,25,0.09511,0.114104,108609.822613,0.000087,0.000087,1,28,0.001207,0.024631,0.00003,0.227273,15,0.0848
189,,,3,6,25,0.092404,0.106129,0,0.000077,0.000077,1,28,0,0.727273,0,1,3,0.023077
5836,,,3,8,25,0.090981,0.102159,0.5,0.000075,0.000075,1,28,0,0.380952,0,0.666667,2,0.013774
7602,,,7,14,24,0.099064,0.114285,184103.566329,0.000636,0.000636,1,28,0.002046,0.094712,0.000194,0.428571,9,0.038877
8440,,,5,10,23,0.106631,0.123006,195144.925113,0.005087,0.005087,1,28,0.002169,0.25519,0.000554,0.4,4,0.049958
