Id,Label,timeset,componentnumber,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,modularity_class,clustering,triangles,eigencentrality
4,,,1,4,14,21,0.086562,0.096247,0,0,0.326087,0,0,0,0,1,6,0.02378
5,,,1,10,34,20,0.094753,0.108947,32971,0.007295,0.043993,0.000321,0.000002,0.000002,0,0.288889,13,0.063887
4581,,,1,4,12,21,0.086562,0.096247,0,0,0.326087,0,0,0,0,1,6,0.02378
5852,,,1,6,14,21,0.086577,0.096801,9,0.000002,0.1341,0,0,0,0,0.6,9,0.031991
6947,,,1,4,12,21,0.086562,0.096247,0,0,0.326087,0,0,0,0,1,6,0.02378
900,,,1,14,40,20,0.094861,0.110342,116083.5,0.025685,0.020852,0.000536,0.000004,0.000004,0,0.197802,18,0.089403
901,,,1,17,46,19,0.104439,0.122856,194476.5,0.04303,0.011715,0.000504,0.000016,0.000016,0,0.169118,23,0.104786
5851,,,1,4,10,21,0.086572,0.096469,3,0.000001,0.274869,0,0,0,0,0.666667,4,0.02332
5853,,,1,7,14,21,0.08658,0.096968,12017,0.002659,0.040623,0.000108,0,0,0,0.190476,4,0.027317
6933,,,1,2,4,21,0.086557,0.095915,0,0,1.428571,0,0,0,0,1,1,0.013932
7864,,,1,3,6,20,0.094721,0.107561,0,0,1.447689,0,0.000002,0.000002,0,1,3,0.037406
6,,,1,4,8,23,0.092694,0.104883,0,0,0.304348,0,0.000008,0.000008,12,1,6,0.027693
7,,,1,14,28,22,0.10215,0.120585,166564.637586,0.036854,0.023778,0.000876,0.000063,0.000063,12,0.230769,21,0.104347
8,,,1,4,8,23,0.092694,0.104883,0,0,0.304348,0,0.000008,0.000008,12,1,6,0.027693
9,,,1,4,8,23,0.092694,0.104883,0,0,0.304348,0,0.000008,0.000008,12,1,6,0.027693
10,,,1,4,8,23,0.092694,0.104883,0,0,0.304348,0,0.000008,0.000008,12,1,6,0.027693
2269,,,1,9,18,23,0.101588,0.121659,58008.929862,0.012835,0.053299,0.000684,0.000014,0.000014,12,0.388889,14,0.111673
3340,,,1,7,16,23,0.101167,0.119775,34516.09639,0.007637,0.135678,0.001036,0.000013,0.000013,12,0.619048,13,0.099253
3341,,,1,4,8,23,0.096375,0.110839,0,0,0.456522,0,0.00001,0.00001,12,1,6,0.046644
3342,,,1,4,8,23,0.096375,0.110839,0,0,0.456522,0,0.00001,0.00001,12,1,6,0.046644
3343,,,1,12,26,23,0.101205,0.120856,67500.09639,0.014935,0.035274,0.000527,0.000014,0.000014,12,0.287879,19,0.118779
5562,,,1,2,4,22,0.099467,0.112341,0,0,2.1,0,0.000052,0.000052,18,1,1,0.020069
5563,,,1,6,12,21,0.108212,0.123587,163860.445234,0.036256,0.115226,0.004178,0.000485,0.000485,18,0.466667,7,0.038801
7950,,,1,8,16,23,0.096797,0.112834,12012,0.002658,0.080255,0.000213,0.00001,0.00001,12,0.428571,12,0.058554
8545,,,1,8,16,23,0.097576,0.115068,42903.314063,0.009493,0.092699,0.00088,0.00001,0.00001,6,0.428571,12,0.070787
8546,,,1,4,8,23,0.096785,0.112168,0,0,0.577982,0,0.000009,0.000009,12,1,6,0.045336
25,,,1,4,12,25,0.092407,0.106295,250.338095,0.000055,0.285714,0.000016,0.000084,0.000084,4,0.666667,4,0.025619
26,,,1,8,22,24,0.100077,0.116543,111667.422749,0.024708,0.05744,0.001419,0.00064,0.00064,4,0.285714,8,0.042418
188,,,1,12,24,25,0.09511,0.114104,108609.822613,0.024031,0.024631,0.000592,0.000087,0.000087,4,0.227273,15,0.0848
189,,,1,3,6,25,0.092404,0.106129,0,0,0.727273,0,0.000077,0.000077,4,1,3,0.023077
5836,,,1,3,8,25,0.090981,0.102159,0.5,0,0.380952,0,0.000075,0.000075,4,0.666667,2,0.013774
7602,,,1,7,14,24,0.099064,0.114285,184103.566329,0.040735,0.094712,0.003858,0.000636,0.000636,4,0.428571,9,0.038877
8440,,,1,5,10,23,0.106631,0.123006,195144.925113,0.043178,0.25519,0.011019,0.005087,0.005087,4,0.4,4,0.049958
11357,,,1,3,6,24,0.098448,0.111812,0,0,0.712468,0,0.000606,0.000606,4,1,3,0.020177
12225,,,1,2,4,25,0.090978,0.101993,0,0,1.090909,0,0.000068,0.000068,4,1,1,0.009943
37,,,1,5,12,21,0.105687,0.121065,64923.845459,0.014365,0.214013,0.003074,0.000124,0.000124,26,0.6,6,0.028776
38,,,1,6,14,20,0.10416,0.121026,68153.320459,0.01508,0.099668,0.001503,0.000016,0.000016,26,0.2,3,0.03855
4696,,,1,7,14,21,0.110531,0.128377,78710.439026,0.017416,0.11749,0.002046,0.00091,0.00091,26,0.428571,9,0.046249
4697,,,1,4,8,22,0.101901,0.115386,0,0,0.348259,0,0.000122,0.000122,26,1,6,0.023404
4698,,,1,4,8,22,0.101901,0.115386,0,0,0.348259,0,0.000122,0.000122,26,1,6,0.023404
4699,,,1,8,16,22,0.101922,0.116162,18006,0.003984,0.078475,0.000313,0.000129,0.000129,26,0.428571,12,0.041116
696,,,1,2,4,21,0.09434,0.10567,0,0,0.75,0,0.000002,0.000002,26,1,1,0.008355
697,,,1,2,4,21,0.09434,0.10567,0,0,0.75,0,0.000002,0.000002,26,1,1,0.008355
1678,,,1,18,40,19,0.109481,0.131821,249588.208554,0.055224,0.012589,0.000695,0.000027,0.000027,26,0.143791,22,0.128711
1679,,,1,4,8,20,0.100629,0.116319,26982,0.00597,0.3,0.001791,0.000004,0.000004,26,0.333333,2,0.03204
2938,,,1,6,14,20,0.100619,0.116392,11932.908333,0.00264,0.153061,0.000404,0.000005,0.000005,26,0.533333,8,0.045198
