title,authors,date,target year
PanViz: interactive visualization of the structure of functionally annotated pangenomes,"Thomas Lin Pedersen, Intawat Nookaew, David Wayne Ussery, Maria Månsson",31 December 2016,2016
RECKONER: read error corrector based on KMC,"Maciej Długosz, Sebastian Deorowicz",30 December 2016,2016
pHMM-tree: phylogeny of profile hidden Markov models,"Luyang Huo, Han Zhang, Xueting Huo, Yasong Yang, Xueqiong Li ...",30 December 2016,2016
RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,"Ravi D Shankar, Sanchita Bhattacharya, Chethan Jujjavarapu, Sandra Andorf, Jeffery A Wiser ...",30 December 2016,2016
Cross-React: a new structural bioinformatics method for predicting allergen cross-reactivity,"Surendra S Negi, Werner Braun",30 December 2016,2016
A comprehensive benchmark of RNA–RNA interaction prediction tools for all domains of life,"Sinan Uğur Umu, Paul P Gardner",30 December 2016,2016
Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,"Irina Balaur, Alexander Mazein, Mansoor Saqi, Artem Lysenko, Christopher J Rawlings ...",30 December 2016,2016
Context-sensitive network-based disease genetics prediction and its implications in drug discovery,"Yang Chen, Rong Xu",30 December 2016,2016
The structural bioinformatics library: modeling in biomolecular science and beyond,"Frédéric Cazals, Tom Dreyfus",30 December 2016,2016
"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm","Joël Lafond-Lapalme, Marc-Olivier Duceppe, Shengrui Wang, Peter Moffett, Benjamin Mimee",30 December 2016,2016
Image-based correction of continuous and discontinuous non-planar axial distortion in serial section microscopy,"Philipp Hanslovsky, John A Bogovic, Stephan Saalfeld",30 December 2016,2016
VarMatch: robust matching of small variant datasets using flexible scoring schemes,"Chen Sun, Paul Medvedev",30 December 2016,2016
switchde: inference of switch-like differential expression along single-cell trajectories,"Kieran R Campbell, Christopher Yau",30 December 2016,2016
Wright–Fisher exact solver (WFES): scalable analysis of population genetic models without simulation or diffusion theory,"Ivan Krukov, Bianca de Sanctis, A P Jason de Koning",30 December 2016,2016
Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,"George Teodoro, Tahsin M Kurç, Luís F R Taveira, Alba C M A Melo, Yi Gao ...",30 December 2016,2016
ontologyX: a suite of R packages for working with ontological data,"Daniel Greene, Sylvia Richardson, Ernest Turro",30 December 2016,2016
Improved VCF normalization for accurate VCF comparison,"Arash Bayat, Bruno Gaëta, Aleksandar Ignjatovic, Sri Parameswaran",30 December 2016,2016
GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,"Richard H Adams, Drew R Schield, Daren C Card, Heath Blackmon, Todd A Castoe",30 December 2016,2016
"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE","William H Majoros, Michael S Campbell, Carson Holt, Erin K DeNardo, Doreen Ware ...",30 December 2016,2016
cBinderDB: a covalent binding agent database,"Jiewen Du, Xin Yan, Zhihong Liu, Lu Cui, Peng Ding ...",30 December 2016,2016
RENT+: an improved method for inferring local genealogical trees from haplotypes with recombination,"Sajad Mirzaei, Yufeng Wu",29 December 2016,2016
GE-mini: a mobile APP for large-scale gene expression visualization,"Zefang Tang, Chenwei Li, Karena Zhang, Mingyu Yang, Xueda Hu",29 December 2016,2016
Using genotype array data to compare multi- and single-sample variant calls and improve variant call sets from deep coverage whole-genome sequencing data,"Suyash S Shringarpure, Rasika A Mathias, Ryan D Hernandez, Timothy D O’Connor, Zachary A Szpiech ...",29 December 2016,2016
CAME: identification of chromatin accessibility from nucleosome occupancy and methylome sequencing,"Yongjun Piao, Seong Keon Lee, Eun-Joon Lee, Keith D Robertson, Huidong Shi ...",29 December 2016,2016
TRFBA: an algorithm to integrate genome-scale metabolic and transcriptional regulatory networks with incorporation of expression data,"Ehsan Motamedian, Maryam Mohammadi, Seyed Abbas Shojaosadati, Mona Heydari",29 December 2016,2016
DeFCoM: analysis and modeling of transcription factor binding sites using a motif-centric genomic footprinter,"Bryan Quach, Terrence S Furey",29 December 2016,2016
Xenolog classification,"Charlotte A Darby, Maureen Stolzer, Patrick J Ropp, Daniel Barker, Dannie Durand",29 December 2016,2016
Inference of cellular level signaling networks using single-cell gene expression data in Caenorhabditis elegans reveals mechanisms of cell fate specification,"Xiao-Tai Huang, Yuan Zhu, Lai Hang Leanne Chan, Zhongying Zhao, Hong Yan",29 December 2016,2016
ACTG: novel peptide mapping onto gene models,"Seunghyuk Choi, Hyunwoo Kim, Eunok Paek",28 December 2016,2016
MetaDCN: meta-analysis framework for differential co-expression network detection with an application in breast cancer,"Li Zhu, Ying Ding, Cho-Yi Chen, Lin Wang, Zhiguang Huo ...",28 December 2016,2016
PhosD: inferring kinase–substrate interactions based on protein domains,"Gui-Min Qin, Rui-Yi Li, Xing-Ming Zhao",28 December 2016,2016
dAPE: a web server to detect homorepeats and follow their evolution,"Pablo Mier, Miguel A Andrade-Navarro",28 December 2016,2016
DNABarcodes: an R package for the systematic construction of DNA sample tags,Tilo Buschmann,28 December 2016,2016
Parameter estimation for dynamical systems with discrete events and logical operations,"Fabian Fröhlich, Fabian J Theis, Joachim O Rädler, Jan Hasenauer",27 December 2016,2016
Novel probabilistic models of spatial genetic ancestry with applications to stratification correction in genome-wide association studies,"Anand Bhaskar, Adel Javanmard, Thomas A Courtade, David Tse",26 December 2016,2016
Computational prediction of species-specific malonylation sites via enhanced characteristic strategy,"Li-Na Wang, Shao-Ping Shi, Hao-Dong Xu, Ping-Ping Wen, Jian-Ding Qiu",24 December 2016,2016
AltORFev facilitates the prediction of alternative open reading frames in eukaryotic mRNAs,"Alex V Kochetov, Jens Allmer, Alexandra I Klimenko, Bulat S Zuraev, Yury G Matushkin ...",23 December 2016,2016
PBIT: Pipeline Builder for Identification of drug Targets for infectious diseases,"Gauri Shende, Harshala Haldankar, Ram Shankar Barai, Mohammed Husain Bharmal, Vinit Shetty ...",23 December 2016,2016
Mutual enrichment in aggregated ranked lists with applications to gene expression regulation,"Dalia Cohn-Alperovich, Alona Rabner, Ilona Kifer, Yael Mandel-Gutfreund, Zohar Yakhini",22 December 2016,2016
Analyzing user-generated online content for drug discovery: development and use of MedCrawler,"Andreas Helfenstein, Päivi Tammela",22 December 2016,2016
Structural insight to mutation effects uncover a common allosteric site in class C GPCRs,"Kasper Harpsøe, Michael W Boesgaard, Christian Munk, Hans Bräuner-Osborne, David E Gloriam",22 December 2016,2016
An ensemble approach to protein fold classification by integration of template-based assignment and support vector machine classifier,"Jiaqi Xia, Zhenling Peng, Dawei Qi, Hongbo Mu, Jianyi Yang",22 December 2016,2016
PRINCESS: Privacy-protecting Rare disease International Network Collaboration via Encryption through Software guard extensionS,"Feng Chen, Shuang Wang, Xiaoqian Jiang, Sijie Ding, Yao Lu ...",22 December 2016,2016
DACE: a scalable DP-means algorithm for clustering extremely large sequence data,"Linhao Jiang, Yichao Dong, Ning Chen, Ting Chen",21 December 2016,2016
Improving flux predictions by integrating data from multiple strains,"Matthew R Long, Jennifer L Reed",21 December 2016,2016
bnstruct: an R package for Bayesian Network structure learning in the presence of missing data,"Alberto Franzin, Francesco Sambo, Barbara Di Camillo",21 December 2016,2016
"T-BAS: Tree-Based Alignment Selector toolkit for phylogenetic-based placement, alignment downloads and metadata visualization: an example with the Pezizomycotina tree of life","Ignazio Carbone, James B White, Jolanta Miadlikowska, A Elizabeth Arnold, Mark A Miller ...",21 December 2016,2016
"Innovations and challenges in detecting long read overlaps: an evaluation 
of the state-of-the-art","Justin Chu, Hamid Mohamadi, René L Warren, Chen Yang, Inanç Birol",21 December 2016,2016
SNP interaction pattern identifier (SIPI): an intensive search for SNP–SNP interaction patterns,"Hui-Yi Lin, Dung-Tsa Chen, Po-Yu Huang, Yung-Hsin Liu, Augusto Ochoa ...",21 December 2016,2016
RBPPred: predicting RNA-binding proteins from sequence using SVM,"Xiaoli Zhang, Shiyong Liu",21 December 2016,2016
Predict drug permeability to blood–brain-barrier from clinical phenotypes: drug side effects and drug indications,"Zhen Gao, Yang Chen, Xiaoshu Cai, Rong Xu",21 December 2016,2016
A mass graph-based approach for the identification of modified proteoforms using top-down tandem mass spectra,"Qiang Kou, Si Wu, Nikola Tolić, Ljiljana Paša-Tolić, Yunlong Liu ...",21 December 2016,2016
A general framework for association analysis of microbial communities on a taxonomic tree,"Zheng-Zheng Tang, Guanhua Chen, Alexander V Alekseyenko, Hongzhe Li",21 December 2016,2016
Defining the clonality of peripheral T cell lymphomas using RNA-seq,"Scott D Brown, Greg Hapgood, Christian Steidl, Andrew P Weng, Kerry J Savage ...",21 December 2016,2016
GWAlpha: genome-wide estimation of additive effects (alpha) based on trait quantile distribution from pool-sequencing experiments,"Alexandre Fournier-Level, Charles Robin, David J Balding",21 December 2016,2016
MEGA-V: detection of variant gene sets in patient cohorts,"Gennaro Gambardella, Matteo Cereda, Lorena Benedetti, Francesca D Ciccarelli",21 December 2016,2016
Hum-mPLoc 3.0: prediction enhancement of human protein subcellular localization through modeling the hidden correlations of gene ontology and functional domain features,"Hang Zhou, Yang Yang, Hong-Bin Shen",20 December 2016,2016
Green listed—a CRISPR screen tool,"Sudeepta Kumar Panda, Sanjay V Boddul, Guillermina Yanek Jiménez-Andrade, Long Jiang, Zsolt Kasza ...",19 December 2016,2016
