title,authors,year,citations
MoMo: discovery of statistically significant post-translational modification motifs,"Alice Cheng, Charles E Grant, William S Noble, Timothy L Bailey",2019.0,23.0
GfaViz: flexible and interactive visualization of GFA sequence graphs,"Giorgio Gonnella, Niklas Niehus, Stefan Kurtz",2019.0,3.0
Multiview: a software package for multiview pattern recognition methods,"Samir Kanaan-Izquierdo, Andrey Ziyatdinov, Maria Araceli Burgueño, Alexandre Perera-Lluna",2019.0,2.0
Linking sequence patterns and functionality of alpha-helical antimicrobial peptides,"Igor E Eliseev, Ivan N Terterov, Anna N Yudenko, Olga V Shamova",2019.0,3.0
ACE: absolute copy number estimation from low-coverage whole-genome sequencing data,"Jos B Poell, Matias Mendeville, Daoud Sie, Arjen Brink, Ruud H Brakenhoff ...",2019.0,10.0
The COP9 signalosome influences the epigenetic landscape of Arabidopsis thaliana,"Tamir Tuller, Alon Diament, Avital Yahalom, Assaf Zemach, Shimshi Atar ...",2019.0,5.0
Single-cell RNA-seq interpretations using evolutionary multiobjective ensemble pruning,"Xiangtao Li, Shixiong Zhang, Ka-Chun Wong",2019.0,10.0
Integration of accessibility data from structure probing into RNA–RNA interaction prediction,"Milad Miladi, Soheila Montaseri, Rolf Backofen, Martin Raden",2019.0,10.0
M3Drop: dropout-based feature selection for scRNASeq,"Tallulah S Andrews, Martin Hemberg",2019.0,66.0
PINSPlus: a tool for tumor subtype discovery in integrated genomic data,"Hung Nguyen, Sangam Shrestha, Sorin Draghici, Tin Nguyen",2019.0,18.0
Computing irreversible minimal cut sets in genome-scale metabolic networks via flux cone projection,"Annika Röhl, Tanguy Riou, Alexander Bockmayr",2019.0,6.0
KinVis: a visualization tool to detect cryptic relatedness in genetic datasets,"Ehsan Ullah, Michaël Aupetit, Arun Das, Abhishek Patil, Noora Al Muftah ...",2019.0,
Smooth orientation-dependent scoring function for coarse-grained protein quality assessment,"Mikhail Karasikov, Guillaume Pagès, Sergei Grudinin",2019.0,25.0
mAHTPred: a sequence-based meta-predictor for improving the prediction of anti-hypertensive peptides using effective feature representation,"Balachandran Manavalan, Shaherin Basith, Tae Hwan Shin, Leyi Wei, Gwang Lee",2019.0,76.0
Improved mutant function prediction via PACT: Protein Analysis and Classifier Toolkit,"Justin R Klesmith, Benjamin J Hackel",2019.0,8.0
Systematic selection of chemical fingerprint features improves the Gibbs energy prediction of biochemical reactions,"Meshari Alazmi, Hiroyuki Kuwahara, Othman Soufan, Lizhong Ding, Xin Gao",2019.0,3.0
Systematic characterization and prediction of post-translational modification cross-talk between proteins,"Rongting Huang, Yuanhua Huang, Yubin Guo, Shangwei Ji, Ming Lu ...",2015.0,27.0
Ancestral sequence reconstruction: accounting for structural information by averaging over replacement matrices,"Asher Moshe, Tal Pupko",2016.0,27.0
"PconsC4: fast, accurate and hassle-free contact predictions","Mirco Michel, David Menéndez Hurtado, Arne Elofsson",2019.0,19.0
CSHAP: efficient haplotype frequency estimation based on sparse representation,"Yinsheng Zhou, Han Zhang, Yaning Yang",2019.0,1.0
PredGly: predicting lysine glycation sites for Homo sapiens based on XGboost feature optimization,"Jialin Yu, Shaoping Shi, Fang Zhang, Guodong Chen, Man Cao",2019.0,17.0
Fully unsupervised symmetry-based mitosis detection in time-lapse cell microscopy,"Topaz Gilad, Jose Reyes, Jia-Yun Chen, Galit Lahav, Tammy Riklin Raviv",2019.0,3.0
Curse: building expression atlases and co-expression networks from public RNA-Seq data,"Dries Vaneechoutte, Klaas Vandepoele",2019.0,7.0
Reply to the paper: Misunderstood parameters of NCBI BLAST impacts the correctness of bioinformatics workflows,"Thomas L Madden, Ben Busby, Jian Ye",2019.0,5.0
poreTally: run and publish de novo nanopore assembler benchmarks,"Carlos de Lannoy, Judith Risse, Dick de Ridder",2019.0,2.0
Very low-depth whole-genome sequencing in complex trait association studies,"Arthur Gilly, Lorraine Southam, Daniel Suveges, Karoline Kuchenbaecker, Rachel Moore ...",2019.0,24.0
DNABarcodeCompatibility: an R-package for optimizing DNA-barcode combinations in multiplex sequencing experiments,"Céline Trébeau, Jacques Boutet de Monvel, Fabienne Wong Jun Tai, Christine Petit, Raphaël Etournay",2019.0,1.0
TriPOINT: a software tool to prioritize important genes in pathways and their non-coding regulators,"Asa Thibodeau, Dong-Guk Shin",2019.0,
Inter-residue interactions in alpha-helical transmembrane proteins,"Eduardo Mayol, Mercedes Campillo, Arnau Cordomí, Mireia Olivella",2019.0,4.0
Response to comments on ‘Empirical comparison of web-based antimicrobial peptide prediction tools’,"Musa Nur Gabere, William Stafford Noble",2019.0,
Comment on: ‘Empirical comparison of web-based antimicrobial peptide prediction tools’,"Boris Vishnepolsky, Malak Pirtskhalava",2019.0,4.0
Pathogen–Host Analysis Tool (PHAT): an integrative platform to analyze next-generation sequencing data,"Christopher M Gibb, Robert Jackson, Sabah Mohammed, Jinan Fiaidhi, Ingeborg Zehbe",2019.0,3.0
On what to permute in test-based approaches for variable importance measures in Random Forests,Stefano Nembrini,2019.0,1.0
Commonly misunderstood parameters of NCBI BLAST and important considerations for users,"Raúl A González-Pech, Timothy G Stephens, Cheong Xin Chan",2019.0,8.0
ModL: exploring and restoring regularity when testing for positive selection,"Joseph Mingrone, Edward Susko, Joseph P Bielawski",2019.0,3.0
CNValidator: validating somatic copy-number inference,"Lucian P Smith, Jon A Yamato, Mary K Kuhner",2019.0,1.0
