title,authors,year,citations
Virtual exploration of early stage atherosclerosis,"Andy L. Olivares, Miguel A. González Ballester, Jérôme Noailly",2020.0,1.0
Virtual exploration of early stage atherosclerosis,"Andy L Olivares, Miguel A González Ballester, Jérôme Noailly",2020.0,1.0
BlendMol: advanced macromolecular visualization in Blender,Jacob D Durrant,2020.0,
Simulating Illumina metagenomic data with InSilicoSeq,"Hadrien Gourlé, Oskar Karlsson-Lindsjö, Juliette Hayer, Erik Bongcam-Rudloff",2020.0,1.0
Comparative assessment of different familial aggregation methods in the context of large and unstructured pedigrees,"Christian X Weichenberger, Johannes Rainer, Cristian Pattaro, Peter P Pramstaller, Francisco S Domingues",2020.0,
Database of evidence for precision oncology portal,"Sam Q Sun, R Jay Mashl, Sohini Sengupta, Adam D Scott, Weihua Wang ...",2020.0,16.0
Asymptotically optimal minimizers schemes,"Guillaume Marçais, Dan DeBlasio, Carl Kingsford",2020.0,1.0
snpAD: an ancient DNA genotype caller,Kay Prüfer,2020.0,26.0
Minimap2: pairwise alignment for nucleotide sequences,Heng Li,2020.0,1.0
The revival of the Gini importance?,"Stefano Nembrini, Inke R König, Marvin N Wright",2020.0,1.0
DeepSimulator: a deep simulator for Nanopore sequencing,"Yu Li, Renmin Han, Chongwei Bi, Mo Li, Sheng Wang ...",2020.0,1.0
Computational drug repositioning using low-rank matrix approximation and randomized algorithms,"Huimin Luo, Min Li, Shaokai Wang, Quan Liu, Yaohang Li ...",2020.0,2.0
Enrichment analysis with EpiAnnotator,"Yoann Pageaud, Christoph Plass, Yassen Assenov",2020.0,2.0
Bringing data from curated pathway resources to Cytoscape with OmniPath,"Francesco Ceccarelli, Denes Turei, Attila Gabor, Julio Saez-Rodriguez",2020.0,9.0
ShinyGO: a graphical gene-set enrichment tool for animals and plants,"Steven Xijin Ge, Dongmin Jung, Runan Yao",2020.0,136.0
qgg: an R package for large-scale quantitative genetic analyses,"Palle Duun Rohde, Izel Fourie Sørensen, Peter Sørensen",2020.0,7.0
Bioinformatics pipeline using JUDI: Just Do It!,"Soumitra Pal, Teresa M Przytycka",2020.0,1.0
VEF: a variant filtering tool based on ensemble methods,"Chuanyi Zhang, Idoia Ochoa",2020.0,
Causal network perturbations for instance-specific analysis of single cell and disease samples,"Kristina L Buschur, Maria Chikina, Panayiotis V Benos",2020.0,3.0
Benchmarking immunoinformatic tools for the analysis of antibody repertoire sequences,"Erand Smakaj, Lmar Babrak, Mats Ohlin, Mikhail Shugay, Bryan Briney ...",2020.0,8.0
Multi-omics reveals functional genomic and metabolic mechanisms of milk production and quality in dairy cows,"Hui-Zeng Sun, Mi Zhou, Ou Wang, Yanhong Chen, Jian-Xin Liu ...",2020.0,4.0
Complexity measures of the mature miRNA for improving pre-miRNAs prediction,"Jonathan Raad, Georgina Stegmayer, Diego H Milone",2020.0,2.0
LOBSTER: an environment to design bioimage analysis workflows for large and complex fluorescence microscopy data,"Sébastien Tosi, Lídia Bardia, Maria Jose Filgueira, Alexandre Calon, Julien Colombelli",2020.0,1.0
iMIRAGE: an R package to impute microRNA expression using protein-coding genes,"Aritro Nath, Jeremy Chang, R Stephanie Huang",2020.0,
LPM: a latent probit model to characterize the relationship among complex traits using summary statistics from multiple GWASs and functional annotations,"Jingsi Ming, Tao Wang, Can Yang",2020.0,
A haplotype-aware de novo assembly of related individuals using pedigree sequence graph,"Shilpa Garg, John Aach, Heng Li, Isaac Sebenius, Richard Durbin ...",2020.0,4.0
CGLFold: a contact-assisted de novo protein structure prediction using global exploration and loop perturbation sampling algorithm,"Jun Liu, Xiao-Gen Zhou, Yang Zhang, Gui-Jun Zhang",2020.0,4.0
PheGWAS: a new dimension to visualize GWAS across multiple phenotypes,"Gittu George, Sushrima Gan, Yu Huang, Philip Appleby, A S Nar ...",2020.0,1.0
AQUA-DUCT 1.0: structural and functional analysis of macromolecules from an intramolecular voids perspective,"Tomasz Magdziarz, Karolina Mitusińska, Maria Bzówka, Agata Raczyńska, Agnieszka Stańczak ...",2020.0,10.0
Meta-analysis of Caenorhabditis elegans single-cell developmental data reveals multi-frequency oscillation in gene activation,"Luke A D Hutchison, Bonnie Berger, Isaac S Kohane",2020.0,2.0
MPF–BML: a standalone GUI-based package for maximum entropy model inference,"Ahmed A Quadeer, Matthew R McKay, John P Barton, Raymond H Y Louie",2020.0,
SAMMI: a semi-automated tool for the visualization of metabolic networks,"Andre Schultz, Rehan Akbani",2020.0,
PDEparams: parameter fitting toolbox for partial differential equations in python,"César Parra-Rojas, Esteban A Hernandez-Vargas",2020.0,2.0
