name
jiewen du
xin yan
zhihong liu
lu cui
peng ding
charlotte a darby
maureen stolzer
patrick j ropp
daniel barker
dannie durand
dalia cohnalperovich
alona rabner
ilona kifer
yael mandelgutfreund
zohar yakhini
charlotte siska
russell bowler
katerina kechris
arnon mazza
konrad klockmeier
erich wanker
roded sharan
daniel a russell
graham f hatfull
sara ballouz
melanie weber
paul pavlidis
jesse gillis
x hu
q dong
j yang
y zhang
alberto noronha
anna dröfn daníelsdóttir
piotr gawron
freyr jóhannsson
soffía jónsdóttir
gabriel renaud
kristian hanghøj
eske willerslev
ludovic orlando
thomas van parys
ine melckenbeeck
maarten houbraken
pieter audenaert
didier colle
yan yan
shangzhao qiu
zhuxuan jin
sihong gong
yun bai
bayo lau
marghoob mohiyuddin
john c mu
li tai fang
narges bani asadi
rudy arthur
ole schulztrieglaff
anthony j cox
jared o’connell
yi zhong
theofanis karaletsos
philipp drewe
vipin t sreedharan
david kuo
ilias georgakopoulossoares
naman jain
jesse m gray
martin hemberg
kathrin trappe
tobias marschall
bernhard y renard
sungyoung lee
sungkyoung choi
young jin kim
bongjo kim
t2dgenes consortium
jaehoon lee
juyoung lee
thanh le van
matthijs van leeuwen
ana carolina fierro
dries de maeyer
jimmy van den eynden
tv pham
cr jimenez
thach nguyen
michael habeck
emilie neveu
david w ritchie
petr popov
sergei grudinin
ilan shomorony
samuel h kim
thomas a courtade
david n c tse
shay benelazar
benny chor
omer s alkhnbashi
shiraz a shah
roger a garrett
sita j saunders
fabrizio costa
ehsan haghshenas
faraz hach
s cenk sahinalp
cedric chauve
hungcuong trinh
yungkeun kwon
max sajitzhermstein
nadine töpfer
sabrina kleessen
alisdair r fernie
zoran nikoloski
tarmo äijö
xiaojing yue
anjana rao
harri lähdesmäki
konstantinos koutroumpas
paolo ballarini
irene votsi
paulhenry cournède
charles j labuzzetta
margaret l antonio
patricia m watson
robert c wilson
lauren a laboissonniere
michael lenz
nadia jt roumans
roel g vink
marleen a van baak
edwin cm mariman
chantriolntandreas kapourani
guido sanguinetti
georg summer
thomas kelder
marijana radonjic
marc van bilsen
suzan wopereis
kedar tatwawadi
mikel hernaez
idoia ochoa
tsachy weissman
william poole
david l gibbs
ilya shmulevich
brady bernard
theo a knijnenburg
olga s voitenko
andi dhroso
anna feldmann
dmitry korkin
olga v kalinina
robert vaser
dario pavlović
mile šikić
somaye hashemifar
jianzhu ma
hammad naveed
stefan canzar
jinbo xu
nanne aben
daniel j vis
magali michaut
lodewyk fa wessels
matthew ruffalo
ziv barjoseph
jikai lei
yanni sun
nan du
samuele girotto
cinzia pizzi
matteo comin
on behalf of the eccb 2016 local steering committee
jaap heringa
eccb 2016 conference chair
marcel reinders
eccb 2016 cochair and programme committee chair
sanne abeln
eccb 2016 proceedings chair and programme committee cochair
jeroen de ridder
eccb 2016 highlights chair and programme committee cochair
wenbao yu
seungyeoun lee
taesung park
i gregor
a schönhuth
a c mchardy
ritambhara singh
jack lanchantin
gabriel robins
yanjun qi
djordje djordjevic
kenro kusumi
joshua w k ho
muhammad ammaduddin
suleiman a khan
disha malani
astrid murumägi
olli kallioniemi
konstantinos d tsirigos
arne elofsson
pantelis g bagos
sheng wang
tuomo hartonen
biswajyoti sahu
kashyap dave
teemu kivioja
jussi taipale
olga v matveeva
yury d nechipurenko
evgeniy riabenko
chikako ragan
nafisa n nazipova
siavash sheikhizadeh
m eric schranz
mehmet akdel
dick de ridder
sandra smit
pauline traynard
adrien fauré
françois fages
denis thieffry
hesam montazeri
jack kuipers
roger kouyos
jürg böni
sabine yerly
ariya shajii
deniz yorukoglu
yun william yu
bonnie berger
mark dm leiserson
matthew a reyna
benjamin j raphael
andreas dm gunawan
bingxin lu
louxin zhang
daniel sáncheztaltavull
matthew macleod
theodore j perkins
jorge gonzálezdomínguez
yongchao liu
juan touriño
bertil schmidt
weizhong lin
dong xu
cristina fríaslópez
josé f sánchezherrero
sara guiraorico
elisa mora
miquel a arnedo
qiwei li
david b dahl
marina vannucci
hyun joo
jerry w tsai
pedro a saa
lars k nielsen
andrew d kern
daniel r schrider
lisle e mose
sara r selitsky
lisa m bixby
david l marron
michael d iglesia
minzhu xie
qiong wu
jianxin wang
tao jiang
jamie soul
sara l dunn
tim e hardingham
ray p boothandford
jeanmarc schwartz
joseph ward
christian cole
melanie febrer
geoffrey j barton
andreas prlić
tara kalro
roshni bhattacharya
cole christie
stephen k burley
jianzhao gao
yuedong yang
yaoqi zhou
jinchao yu
raphaël guerois
forest agostinelli
nicholas ceglia
babak shahbaba
paolo sassonecorsi
pierre baldi
eisuke hayakawa
yoshinori fujimura
daisuke miura
aristidis g vrahatis
panos balomenos
athanasios k tsakalidis
anastasios bezerianos
sara hillenmeyer
lea k davis
eric r gamazon
edwin h cook
nancy j cox
yiyi liu
hongyu zhao
solaiappan manimaran
heather marie selby
kwame okrah
claire ruberman
jeffrey t leek
rolf hilker
kai bernd stadermann
oliver schwengers
evgeny anisiforov
sebastian jaenicke
rachid ounit
stefano lonardi
jack p hou
amin emad
gregory j puleo
jian ma
olgica milenkovic
huajun wu
franziska michor
eoin c whelan
alexander c nwala
christopher osgood
stephan olariu
serguei vs pakhomov
greg finley
reed mcewan
yan wang
genevieve b melton
amit frishberg
avital brodt
yael steuerman
irit gatviks
eiwen yang
jamie waese
asher pasha
ting ting wang
anna van weringh
david s guttman
shicai wang
mihaela a mares
yike guo
vedrana vidulin
tomislav šmuc
fran supek
zongli xu
jack a taylor
yuetkin leung
shukmei ho
liang niu
niels w hanson
kishori m konwar
steven j hallam
thomas eder
florian grebien
thomas rattei
jing lu
heather a carlson
tianshun gao
bing he
sheng liu
heng zhu
kai tan
s cogill
l wang
meizhuo zhang
yanping xie
fan wang
ming chen
ruoyan chen
yu lung lau
yan zhang
wanling yang
gianluca corrado
toma tebaldi
paolo frasconi
andrea passerini
stephen g gaffney
jeffrey p townsend
li c xue
joão pglm rodrigues
panagiotis l kastritis
alexandre mjj bonvin
anna vangone
nicole e wheeler
lars barquist
robert a kingsley
paul p gardner
jan r detrez
jeanmarie vanderwinden
michaël barbier
marlies verschuuren
rony nuydens
jasmine dumas
michael a gargano
garrett m dancik
zhou lan
yize zhao
jian kang
tianwei yu
daniel edsgärd
björn reinius
rickard sandberg
louisphilippe lemieux perreault
marcandré legault
géraldine asselin
mariepierre dubé
xiang zhan
santhosh girirajan
ni zhao
michael c wu
debashis ghosh
krishna choudhary
nathan p shih
fei deng
mirko ledda
bo li
erwin holzhauser
ping ge
shaojie zhang
rickard hammarén
chandan pal
johan bengtssonpalme
li chen
yongyi yu
xinchen zhang
chen liu
chuyu ye
yalu wen
fushun chen
qingzheng zhang
yan zhuang
zhiguang li
yi wang
ling xu
yong q gu
devin colemanderr
yun hao
nicholas p tatonetti
tadi venkata sivakumar
varun giri
jin hwan park
tae yong kim
anirban bhaduri
subrata saha
sanguthevar rajasekaran
daniyar bakir
alex pappachen james
amin zollanvari
samuele bovo
pietro di lena
pier luigi martelli
piero fariselli
rita casadio
kyubum lee
wonho shin
byounggun kim
sunwon lee
yonghwa choi
shu tadaka
kengo kinoshita
jian fang
dongdong lin
s charles schulz
zongben xu
vince d calhoun
haifeng chen
andrew d smith
ting chen
george a cortina
peter m kasson
dmitry antipov
nolan hartwick
max shen
mikhail raiko
alla lapidus
zhehuan zhao
zhihao yang
ling luo
hongfei lin
jian wang
samuel a lambert
mihai albu
timothy r hughes
hamed s najafabadi
stefanie könig
lars w romoth
lizzy gerischer
mario stanke
diego ortegadel vecchyo
clare d marsden
kirk e lohmueller
mengyin lu
matthew stephens
qiang kou
likun xun
xiaowen liu
mark winter
walter mankowski
eric wait
sally temple
andrew r cohen
lars skjærven
shashank jariwala
xinqiu yao
barry j grant
hamid mohamadi
justin chu
benjamin p vandervalk
inanc birol
chiahua chang
minte chou
yichung wu
tingwei hong
yunlung li
david legland
ignacio argandacarreras
philippe andrey
yukako tohsato
kenneth h l ho
koji kyoda
shuichi onami
zhi liu
tuantuan gui
zhen wang
hong li
yunhe fu
sara elmetwally
magdi zakaria
taher hamza
giovanni stracquadanio
kun yang
jef d boeke
joel s bader
richard a schäfer
björn voß
aika terada
ryo yamada
koji tsuda
jun sese
sebastián duchêne
jemma l geoghegan
edward c holmes
simon yw ho
guy yachdav
sebastian wilzbach
benedikt rauscher
robert sheridan
ian sillitoe
véronique hourdel
stevenn volant
darragh p o’brien
alexandre chenal
julia chamotrooke
alexey stupnikov
