name,title,year,citations
thomas lin pedersen,PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
intawat nookaew,PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
david wayne ussery,PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
maria månsson,PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
maciej długosz,RECKONER: read error corrector based on KMC,2017.0,10.0
sebastian deorowicz,RECKONER: read error corrector based on KMC,2017.0,10.0
luyang huo,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
han zhang,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
xueting huo,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
yasong yang,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
xueqiong li,pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
ravi d shankar,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
sanchita bhattacharya,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
chethan jujjavarapu,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
sandra andorf,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
jeffery a wiser,RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
surendra s negi,Cross-React: a new structural bioinformatics method for predicting allergen cross-reactivity,2017.0,20.0
werner braun,Cross-React: a new structural bioinformatics method for predicting allergen cross-reactivity,2017.0,20.0
sinan uğur umu,A comprehensive benchmark of RNA–RNA interaction prediction tools for all domains of life,2017.0,32.0
paul p gardner,A comprehensive benchmark of RNA–RNA interaction prediction tools for all domains of life,2017.0,32.0
irina balaur,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
alexander mazein,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
mansoor saqi,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
artem lysenko,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
christopher j rawlings,Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
yang chen,Context-sensitive network-based disease genetics prediction and its implications in drug discovery,2017.0,16.0
rong xu,Context-sensitive network-based disease genetics prediction and its implications in drug discovery,2017.0,16.0
frédéric cazals,The structural bioinformatics library: modeling in biomolecular science and beyond,2017.0,31.0
tom dreyfus,The structural bioinformatics library: modeling in biomolecular science and beyond,2017.0,31.0
joël lafondlapalme,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
marcolivier duceppe,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
shengrui wang,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
peter moffett,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
benjamin mimee,"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
philipp hanslovsky,Image-based correction of continuous and discontinuous non-planar axial distortion in serial section microscopy,2017.0,16.0
john a bogovic,Image-based correction of continuous and discontinuous non-planar axial distortion in serial section microscopy,2017.0,16.0
stephan saalfeld,Image-based correction of continuous and discontinuous non-planar axial distortion in serial section microscopy,2017.0,16.0
chen sun,VarMatch: robust matching of small variant datasets using flexible scoring schemes,2017.0,13.0
paul medvedev,VarMatch: robust matching of small variant datasets using flexible scoring schemes,2017.0,13.0
kieran r campbell,switchde: inference of switch-like differential expression along single-cell trajectories,2017.0,18.0
christopher yau,switchde: inference of switch-like differential expression along single-cell trajectories,2017.0,18.0
ivan krukov,Wright–Fisher exact solver (WFES): scalable analysis of population genetic models without simulation or diffusion theory,2017.0,8.0
bianca de sanctis,Wright–Fisher exact solver (WFES): scalable analysis of population genetic models without simulation or diffusion theory,2017.0,8.0
a p jason de koning,Wright–Fisher exact solver (WFES): scalable analysis of population genetic models without simulation or diffusion theory,2017.0,8.0
george teodoro,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
tahsin m kurç,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
luís f r taveira,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
alba c m a melo,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
yi gao,Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
daniel greene,ontologyX: a suite of R packages for working with ontological data,2017.0,33.0
sylvia richardson,ontologyX: a suite of R packages for working with ontological data,2017.0,33.0
ernest turro,ontologyX: a suite of R packages for working with ontological data,2017.0,33.0
arash bayat,Improved VCF normalization for accurate VCF comparison,2017.0,5.0
bruno gaëta,Improved VCF normalization for accurate VCF comparison,2017.0,5.0
aleksandar ignjatovic,Improved VCF normalization for accurate VCF comparison,2017.0,5.0
sri parameswaran,Improved VCF normalization for accurate VCF comparison,2017.0,5.0
richard h adams,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
drew r schield,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
daren c card,GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
