title,year,citations
Predicting regulatory variants with composite statistic,2019.0,7.0
Fuento: functional enrichment for bioinformatics,2019.0,3.0
The Tomato Expression Atlas,2019.0,9.0
MoMo: discovery of statistically significant post-translational modification motifs,2019.0,23.0
GfaViz: flexible and interactive visualization of GFA sequence graphs,2019.0,3.0
Multiview: a software package for multiview pattern recognition methods,2019.0,2.0
Linking sequence patterns and functionality of alpha-helical antimicrobial peptides,2019.0,3.0
ACE: absolute copy number estimation from low-coverage whole-genome sequencing data,2019.0,10.0
The COP9 signalosome influences the epigenetic landscape of Arabidopsis thaliana,2019.0,5.0
Single-cell RNA-seq interpretations using evolutionary multiobjective ensemble pruning,2019.0,10.0
Integration of accessibility data from structure probing into RNA–RNA interaction prediction,2019.0,10.0
M3Drop: dropout-based feature selection for scRNASeq,2019.0,66.0
PINSPlus: a tool for tumor subtype discovery in integrated genomic data,2019.0,18.0
Computing irreversible minimal cut sets in genome-scale metabolic networks via flux cone projection,2019.0,6.0
KinVis: a visualization tool to detect cryptic relatedness in genetic datasets,2019.0,
Smooth orientation-dependent scoring function for coarse-grained protein quality assessment,2019.0,25.0
mAHTPred: a sequence-based meta-predictor for improving the prediction of anti-hypertensive peptides using effective feature representation,2019.0,76.0
Improved mutant function prediction via PACT: Protein Analysis and Classifier Toolkit,2019.0,8.0
Systematic selection of chemical fingerprint features improves the Gibbs energy prediction of biochemical reactions,2019.0,3.0
"PconsC4: fast, accurate and hassle-free contact predictions",2019.0,19.0
CSHAP: efficient haplotype frequency estimation based on sparse representation,2019.0,1.0
PredGly: predicting lysine glycation sites for Homo sapiens based on XGboost feature optimization,2019.0,17.0
Fully unsupervised symmetry-based mitosis detection in time-lapse cell microscopy,2019.0,3.0
Curse: building expression atlases and co-expression networks from public RNA-Seq data,2019.0,7.0
Reply to the paper: Misunderstood parameters of NCBI BLAST impacts the correctness of bioinformatics workflows,2019.0,5.0
poreTally: run and publish de novo nanopore assembler benchmarks,2019.0,2.0
Very low-depth whole-genome sequencing in complex trait association studies,2019.0,24.0
DNABarcodeCompatibility: an R-package for optimizing DNA-barcode combinations in multiplex sequencing experiments,2019.0,1.0
TriPOINT: a software tool to prioritize important genes in pathways and their non-coding regulators,2019.0,
Inter-residue interactions in alpha-helical transmembrane proteins,2019.0,4.0
Response to comments on ‘Empirical comparison of web-based antimicrobial peptide prediction tools’,2019.0,
Comment on: ‘Empirical comparison of web-based antimicrobial peptide prediction tools’,2019.0,4.0
Pathogen–Host Analysis Tool (PHAT): an integrative platform to analyze next-generation sequencing data,2019.0,3.0
Commonly misunderstood parameters of NCBI BLAST and important considerations for users,2019.0,8.0
ModL: exploring and restoring regularity when testing for positive selection,2019.0,3.0
CNValidator: validating somatic copy-number inference,2019.0,1.0
CASMAP: detection of statistically significant combinations of SNPs in association mapping,2019.0,8.0
Gene expression models based on transcription factor binding events confer insight into functional cis-regulatory variants,2019.0,6.0
Optimal Gene Filtering for Single-Cell data (OGFSC)—a gene filtering algorithm for single-cell RNA-seq data,2019.0,3.0
Increasing the accuracy of protein loop structure prediction with evolutionary constraints,2019.0,2.0
atSNP Search: a web resource for statistically evaluating influence of human genetic variation on transcription factor binding,2019.0,9.0
Insights on protein thermal stability: a graph representation of molecular interactions,2019.0,15.0
Deciphering the complexity of human non-coding promoter-proximal transcriptome,2019.0,2.0
DeepIsoFun: a deep domain adaptation approach to predict isoform functions,2019.0,10.0
A novel measure of non-coding genome conservation identifies genomic regulatory blocks within primates,2019.0,2.0
DensityPath: an algorithm to visualize and reconstruct cell state-transition path on density landscape for single-cell RNA sequencing data,2019.0,6.0
Evaluation of methods for generative modeling of cell and nuclear shape,2019.0,11.0
"MapOptics: a light-weight, cross-platform visualization tool for optical mapping alignment",2019.0,2.0
SPRING: a next-generation compressor for FASTQ data,2019.0,27.0
"Improving prediction of protein secondary structure, backbone angles, solvent accessibility and contact numbers by using predicted contact maps and an ensemble of recurrent and residual convolutional neural networks",2019.0,50.0
AStrap: identification of alternative splicing from transcript sequences without a reference genome,2019.0,4.0
GlycanFormatConverter: a conversion tool for translating the complexities of glycans,2019.0,9.0
Histones predate the split between bacteria and archaea,2019.0,2.0
miRDeep-P2: accurate and fast analysis of the microRNA transcriptome in plants,2019.0,15.0
Accurate and efficient estimation of small P-values with the cross-entropy method: applications in genomic data analysis,2019.0,5.0
In silico error correction improves cfDNA mutation calling,2019.0,4.0
New models of atherosclerosis and multi-drug therapeutic interventions,2019.0,3.0
Capsule network for protein post-translational modification site prediction,2019.0,32.0
"Alfred: interactive multi-sample BAM alignment statistics, feature counting and feature annotation for long- and short-read sequencing",2019.0,14.0
"BIOLITMAP: a web-based geolocated, temporal and thematic visualization of the evolution of bioinformatics publications",2019.0,
Global Biobank Engine: enabling genotype-phenotype browsing for biobank summary statistics,2019.0,37.0
ARGDIT: a validation and integration toolkit for Antimicrobial Resistance Gene Databases,2019.0,2.0
Protein–protein interaction sites prediction by ensemble random forests with synthetic minority oversampling technique,2019.0,44.0
BaiHui: cross-species brain-specific network built with hundreds of hand-curated datasets,2019.0,5.0
Drug Targetor: a web interface to investigate the human druggome for over 500 phenotypes,2019.0,5.0
GEMPROT: visualization of the impact on the protein of the genetic variants found on each haplotype,2019.0,
iHam and pyHam: visualizing and processing hierarchical orthologous groups,2019.0,12.0
GWASpro: a high-performance genome-wide association analysis server,2019.0,6.0
PPaxe: easy extraction of protein occurrence and interactions from the scientific literature,2019.0,2.0
CRISPR-Local: a local single-guide RNA (sgRNA) design tool for non-reference plant genomes,2019.0,14.0
ConDo: protein domain boundary prediction using coevolutionary information,2019.0,3.0
Computational functional genomics-based reduction of disease-related gene sets to their key components,2019.0,2.0
Validation of electron microscopy initial models via small angle X-ray scattering curves,2019.0,
DeeReCT-PolyA: a robust and generic deep learning method for PAS identification,2019.0,18.0
TADOSS: computational estimation of tandem domain swap stability,2019.0,2.0
Detection of rare disease variants in extended pedigrees using RVS,2019.0,2.0
DiTaxa: nucleotide-pair encoding of 16S rRNA for host phenotype and biomarker detection,2019.0,9.0
Genome-wide search of nucleosome patterns using visual analytics,2019.0,3.0
On the biases in predictions of protein stability changes upon variations: the INPS test case,2019.0,9.0
GUESS: projecting machine learning scores to well-calibrated probability estimates for clinical decision-making,2019.0,5.0
A structural homology approach for computational protein design with flexible backbone,2019.0,2.0
EpistasisRank and EpistasisKatz: interaction network centrality methods that integrate prior knowledge networks,2019.0,3.0
SkeletalVis: an exploration and meta-analysis data portal of cross-species skeletal transcriptomics data,2019.0,8.0
PhastWeb: a web interface for evolutionary conservation scoring of multiple sequence alignments using phastCons and phyloP,2019.0,16.0
Computational modeling reveals MAP3K8 as mediator of resistance to vemurafenib in thyroid cancer stem cells,2019.0,12.0
An equivariant Bayesian convolutional network predicts recombination hotspots and accurately resolves binding motifs,2019.0,6.0
GenCoF: a graphical user interface to rapidly remove human genome contaminants from metagenomic datasets,2019.0,8.0
GUV-AP: multifunctional FIJI-based tool for quantitative image analysis of Giant Unilamellar Vesicles,2019.0,2.0
A plugin for the Ensembl Variant Effect Predictor that uses MaxEntScan to predict variant spliceogenicity,2019.0,11.0
Integrate multiple traits to detect novel trait–gene association using GWAS summary data with an adaptive test approach,2019.0,6.0
RT States: systematic annotation of the human genome using cell type-specific replication timing programs,2019.0,1.0
SGTK: a toolkit for visualization and assessment of scaffold graphs,2019.0,3.0
Application of machine learning techniques to tuberculosis drug resistance analysis,2019.0,19.0
The Microbiome Modeling Toolbox: from microbial interactions to personalized microbial communities,2019.0,31.0
ProteomicsBrowser: MS/proteomics data visualization and investigation,2019.0,2.0
TAIJI: approaching experimental replicates-level accuracy for drug synergy prediction,2019.0,6.0
DeepCrystal: a deep learning framework for sequence-based protein crystallization prediction,2019.0,17.0
circtools—a one-stop software solution for circular RNA research,2019.0,14.0
BulkVis: a graphical viewer for Oxford nanopore bulk FAST5 files,2019.0,114.0
"Clustering of samples with a tree-shaped dependence structure, with an application to microscopic time lapse imaging",2019.0,3.0
Genetic Neural Networks: an artificial neural network architecture for capturing gene expression relationships,2019.0,6.0
DiPhiSeq: robust comparison of expression levels on RNA-Seq data with large sample sizes,2019.0,3.0
CAARS: comparative assembly and annotation of RNA-Seq data,2019.0,2.0
Pair Matcher (PaM): fast model-based optimization of treatment/case-control matches,2019.0,2.0
PAVOOC: designing CRISPR sgRNAs using 3D protein structures and functional domain annotations,2019.0,5.0
Condition-specific series of metabolic sub-networks and its application for gene set enrichment analysis,2019.0,6.0
BGSA: a bit-parallel global sequence alignment toolkit for multi-core and many-core architectures,2019.0,5.0
pyNVR: investigating factors affecting feature selection from scRNA-seq data for lineage reconstruction,2019.0,7.0
GRNBoost2 and Arboreto: efficient and scalable inference of gene regulatory networks,2019.0,40.0
FactorialHMM: fast and exact inference in factorial hidden Markov models,2019.0,
Identify origin of replication in Saccharomyces cerevisiae using two-step feature selection technique,2019.0,122.0
A Drug-Side Effect Context-Sensitive Network approach for drug target prediction,2019.0,7.0
"SeQuiLa: an elastic, fast and scalable SQL-oriented solution for processing and querying genomic intervals",2019.0,3.0
MAGpy: a reproducible pipeline for the downstream analysis of metagenome-assembled genomes (MAGs),2019.0,19.0
Identifying antimicrobial peptides using word embedding with deep recurrent neural networks,2019.0,22.0
BayMAP: a Bayesian hierarchical model for the analysis of PAR-CLIP data,2019.0,
Pan-genomic analysis provides novel insights into the association of E.coli with human host and its minimal genome,2019.0,6.0
Whisper: read sorting allows robust mapping of DNA sequencing data,2019.0,1.0
DeepT3: deep convolutional neural networks accurately identify Gram-negative bacterial type III secreted effectors using the N-terminal sequence,2019.0,16.0
OPA2Vec: combining formal and informal content of biomedical ontologies to improve similarity-based prediction,2019.0,43.0
BacPaCS—Bacterial Pathogenicity Classification via Sparse-SVM,2019.0,4.0
High efficiency referential genome compression algorithm,2019.0,4.0
Measurement error and variant-calling in deep Illumina sequencing of HIV,2019.0,15.0
"Clusterdv: a simple density-based clustering method that is robust, general and automatic",2019.0,6.0
dtangle: accurate and robust cell type deconvolution,2019.0,12.0
"Index suffix–prefix overlaps by (w, k)-minimizer to generate long contigs for reads compression",2019.0,14.0
Improved inference of intermolecular contacts through protein–protein interaction prediction using coevolutionary analysis,2019.0,6.0
wgd—simple command line tools for the analysis of ancient whole-genome duplications,2019.0,19.0
Computational modeling of cellular structures using conditional deep generative networks,2019.0,8.0
Supervised non-negative matrix factorization methods for MALDI imaging applications,2019.0,12.0
Partially non-homogeneous dynamic Bayesian networks based on Bayesian regression models with partitioned design matrices,2019.0,3.0
"BiXGBoost: a scalable, flexible boosting-based method for reconstructing gene regulatory networks",2019.0,18.0
"FAVITES: simultaneous simulation of transmission networks, phylogenetic trees and sequences",2019.0,21.0
Set of approaches based on 3D structure and position specific-scoring matrix for predicting DNA-binding proteins,2019.0,6.0
Discovering network phenotype between genetic risk factors and disease status via diagnosis-aligned multi-modality regression method in Alzheimer’s disease,2019.0,9.0
Antibody interface prediction with 3D Zernike descriptors and SVM,2019.0,20.0
"DrugThatGene: integrative analysis to streamline the identification of druggable genes, pathways and protein complexes from CRISPR screens",2019.0,
High-complexity regions in mammalian genomes are enriched for developmental genes,2019.0,
ukbREST: efficient and streamlined data access for reproducible research in large biobanks,2019.0,5.0
gwasurvivr: an R package for genome-wide survival analysis,2019.0,12.0
Heavy-tailed prior distributions for sequence count data: removing the noise and preserving large differences,2019.0,177.0
Bastion3: a two-layer ensemble predictor of type III secreted effectors,2019.0,34.0
SJARACNe: a scalable software tool for gene network reverse engineering from big data,2019.0,10.0
Batch effects correction for microbiome data with Dirichlet-multinomial regression,2019.0,11.0
TPMCalculator: one-step software to quantify mRNA abundance of genomic features,2019.0,19.0
VarSome: the human genomic variant search engine,2019.0,229.0
Statistical inference of the rate of RNA polymerase II elongation by total RNA sequencing,2019.0,2.0
simGWAS: a fast method for simulation of large scale case–control GWAS summary statistics,2019.0,8.0
ELMER v.2: an R/Bioconductor package to reconstruct gene regulatory networks from DNA methylation and transcriptome profiles,2019.0,23.0
Flexible design of multiple metagenomics classification pipelines with UGENE,2019.0,18.0
A framework for identifying dysregulated chromatin regulators as master regulators in human cancer,2019.0,
A Bayesian model for single cell transcript expression analysis on MERFISH data,2019.0,2.0
Measuring phylogenetic signal between categorical traits and phylogenies,2019.0,14.0
BatchI: Batch effect Identification in high-throughput screening data using a dynamic programming algorithm,2019.0,7.0
Clustermatch: discovering hidden relations in highly diverse kinds of qualitative and quantitative data without standardization,2019.0,1.0
Alignment-free clustering of UMI tagged DNA molecules,2019.0,9.0
VCPA: genomic variant calling pipeline and data management tool for Alzheimer’s Disease Sequencing Project,2019.0,4.0
Simple tricks of convolutional neural network architectures improve DNA–protein binding prediction,2019.0,7.0
pJRES Binning Algorithm (JBA): a new method to facilitate the recovery of metabolic information from pJRES 1H NMR spectra,2019.0,4.0
SeeVis—3D space-time cube rendering for visualization of microfluidics image data,2019.0,
Long-term context-dependent genetic adaptation of the viral genetic cloud,2019.0,5.0
methylGSA: a Bioconductor package and Shiny app for DNA methylation data length bias adjustment in gene set testing,2019.0,27.0
