title,year,citations
PanViz: interactive visualization of the structure of functionally annotated pangenomes,2017.0,12.0
RECKONER: read error corrector based on KMC,2017.0,10.0
pHMM-tree: phylogeny of profile hidden Markov models,2017.0,14.0
RImmPort: an R/Bioconductor package that enables ready-for-analysis immunology research data,2017.0,6.0
Cross-React: a new structural bioinformatics method for predicting allergen cross-reactivity,2017.0,20.0
A comprehensive benchmark of RNA–RNA interaction prediction tools for all domains of life,2017.0,32.0
Recon2Neo4j: applying graph database technologies for managing comprehensive genome-scale networks,2017.0,15.0
Context-sensitive network-based disease genetics prediction and its implications in drug discovery,2017.0,16.0
The structural bioinformatics library: modeling in biomolecular science and beyond,2017.0,31.0
"A new method for decontamination of de novo transcriptomes using a hierarchical 
clustering algorithm",2017.0,16.0
Image-based correction of continuous and discontinuous non-planar axial distortion in serial section microscopy,2017.0,16.0
VarMatch: robust matching of small variant datasets using flexible scoring schemes,2017.0,13.0
switchde: inference of switch-like differential expression along single-cell trajectories,2017.0,18.0
Wright–Fisher exact solver (WFES): scalable analysis of population genetic models without simulation or diffusion theory,2017.0,8.0
Algorithm sensitivity analysis and parameter tuning for tissue image segmentation pipelines,2017.0,20.0
ontologyX: a suite of R packages for working with ontological data,2017.0,33.0
Improved VCF normalization for accurate VCF comparison,2017.0,5.0
GppFst: genomic posterior predictive simulations of FST and dXY for identifying outlier loci from population genomic data,2017.0,11.0
"High-throughput interpretation of gene structure changes in human and nonhuman resequencing data, using ACE",2017.0,3.0
cBinderDB: a covalent binding agent database,2016.0,
RENT+: an improved method for inferring local genealogical trees from haplotypes with recombination,2017.0,17.0
GE-mini: a mobile APP for large-scale gene expression visualization,2017.0,20.0
Using genotype array data to compare multi- and single-sample variant calls and improve variant call sets from deep coverage whole-genome sequencing data,2017.0,4.0
CAME: identification of chromatin accessibility from nucleosome occupancy and methylome sequencing,2017.0,4.0
TRFBA: an algorithm to integrate genome-scale metabolic and transcriptional regulatory networks with incorporation of expression data,2017.0,31.0
DeFCoM: analysis and modeling of transcription factor binding sites using a motif-centric genomic footprinter,2017.0,19.0
Xenolog classification,2016.0,
Inference of cellular level signaling networks using single-cell gene expression data in Caenorhabditis elegans reveals mechanisms of cell fate specification,2017.0,2.0
ACTG: novel peptide mapping onto gene models,2017.0,5.0
MetaDCN: meta-analysis framework for differential co-expression network detection with an application in breast cancer,2017.0,16.0
PhosD: inferring kinase–substrate interactions based on protein domains,2017.0,13.0
dAPE: a web server to detect homorepeats and follow their evolution,2017.0,9.0
Parameter estimation for dynamical systems with discrete events and logical operations,2017.0,27.0
Novel probabilistic models of spatial genetic ancestry with applications to stratification correction in genome-wide association studies,2017.0,8.0
Computational prediction of species-specific malonylation sites via enhanced characteristic strategy,2017.0,40.0
AltORFev facilitates the prediction of alternative open reading frames in eukaryotic mRNAs,2017.0,8.0
PBIT: Pipeline Builder for Identification of drug Targets for infectious diseases,2017.0,5.0
Mutual enrichment in aggregated ranked lists with applications to gene expression regulation,2016.0,3.0
Analyzing user-generated online content for drug discovery: development and use of MedCrawler,2017.0,3.0
Structural insight to mutation effects uncover a common allosteric site in class C GPCRs,2017.0,9.0
An ensemble approach to protein fold classification by integration of template-based assignment and support vector machine classifier,2017.0,34.0
PRINCESS: Privacy-protecting Rare disease International Network Collaboration via Encryption through Software guard extensionS,2017.0,66.0
DACE: a scalable DP-means algorithm for clustering extremely large sequence data,2017.0,12.0
Improving flux predictions by integrating data from multiple strains,2017.0,7.0
bnstruct: an R package for Bayesian Network structure learning in the presence of missing data,2017.0,29.0
"T-BAS: Tree-Based Alignment Selector toolkit for phylogenetic-based placement, alignment downloads and metadata visualization: an example with the Pezizomycotina tree of life",2017.0,38.0
"Innovations and challenges in detecting long read overlaps: an evaluation 
of the state-of-the-art",2017.0,41.0
SNP interaction pattern identifier (SIPI): an intensive search for SNP–SNP interaction patterns,2017.0,9.0
RBPPred: predicting RNA-binding proteins from sequence using SVM,2017.0,33.0
Predict drug permeability to blood–brain-barrier from clinical phenotypes: drug side effects and drug indications,2017.0,22.0
A mass graph-based approach for the identification of modified proteoforms using top-down tandem mass spectra,2017.0,15.0
A general framework for association analysis of microbial communities on a taxonomic tree,2017.0,30.0
Defining the clonality of peripheral T cell lymphomas using RNA-seq,2017.0,12.0
GWAlpha: genome-wide estimation of additive effects (alpha) based on trait quantile distribution from pool-sequencing experiments,2017.0,1.0
MEGA-V: detection of variant gene sets in patient cohorts,2017.0,4.0
Hum-mPLoc 3.0: prediction enhancement of human protein subcellular localization through modeling the hidden correlations of gene ontology and functional domain features,2017.0,55.0
Green listed—a CRISPR screen tool,2018.0,
The discordant method: a novel approach for differential correlation,2016.0,20.0
HiLive: real-time mapping of illumina reads while sequencing,2017.0,13.0
An integer programming framework for inferring disease complexes from network data,2016.0,13.0
iRSpot-EL: identify recombination spots with an ensemble learning approach,2017.0,269.0
"SeqLib: a C ++ API for rapid BAM manipulation, sequence alignment and sequence assembly",2017.0,6.0
"The PPI3D web server for searching, analyzing and modeling protein–protein interactions in the context of 3D structures",2017.0,18.0
MRUniNovo: an efficient tool for de novo peptide sequencing utilizing the hadoop distributed computing framework,2017.0,15.0
CellSort: a support vector machine tool for optimizing fluorescence-activated cell sorting and reducing experimental effort,2017.0,8.0
cerebroViz: an R package for anatomical visualization of spatiotemporal brain data,2017.0,15.0
