title,authors,date,target year
Improving gene network inference with graph wavelets and making insights about ageing-associated regulatory changes in lungs,"Shreya Mishra, Divyanshu Srivastava, Vibhor Kumar",31 December 2020,2020
ChemGenerator: a web server for generating potential ligands for specific targets,"Jing Yang, Ling Hou, Kun-Meng Liu, Wen-Bin He, Yong Cai ...",31 December 2020,2020
Identifying the natural polyphenol catechin as a multi-targeted agent against SARS-CoV-2 for the plausible therapy of COVID-19: an integrated computational approach,"Chandra Bhushan Mishra, Preeti Pandey, Ravi Datta Sharma, Md Zubbair Malik, Raj Kumar Mongre ...",31 December 2020,2020
A deep learning approach for filtering structural variants in short read sequencing data,"Yongzhuang Liu, Yalin Huang, Guohua Wang, Yadong Wang",30 December 2020,2020
Evolutionary and codon usage preference insights into spike glycoprotein of SARS-CoV-2,"Yashpal Singh Malik, Mohd Ikram Ansari, Jobin Jose Kattoor, Rahul Kaushik, Shubhankar Sircar ...",30 December 2020,2020
Understanding the unimodal distributions of cancer occurrence rates: it takes two factors for a cancer to occur,"Shuang Qiu, Zheng An, Renbo Tan, Ping-an He, Jingjing Jing ...",30 December 2020,2020
The status of causality in biological databases: data resources and data retrieval possibilities to support logical modeling,"Vasundra Touré, Åsmund Flobak, Anna Niarakis, Steven Vercruysse, Martin Kuiper",30 December 2020,2020
Comprehensive pathway enrichment analysis workflows: COVID-19 case study,"Giuseppe Agapito, Chiara Pastrello, Igor Jurisica",29 December 2020,2020
Deep learning approaches for neural decoding across architectures and recording modalities,"Jesse A Livezey, Joshua I Glaser",29 December 2020,2020
Pathogenic gene prediction based on network embedding,"Yang Liu, Yuchen Guo, Xiaoyan Liu, Chunyu Wang, Maozu Guo",28 December 2020,2020
Machine learning-based integrative analysis of methylome and transcriptome identifies novel prognostic DNA methylation signature in uveal melanoma,"Ping Hou, Siqi Bao, Dandan Fan, Congcong Yan, Jianzhong Su ...",26 December 2020,2020
Identifying age-specific gene signatures of the human cerebral cortex with joint analysis of transcriptomes and functional connectomes,"Xingzhong Zhao, Jingqi Chen, Peipei Xiao, Jianfeng Feng, Qing Nie ...",26 December 2020,2020
Deep forest ensemble learning for classification of alignments of non-coding RNA sequences based on multi-view structure representations,"Ying Li, Qi Zhang, Zhaoqian Liu, Cankun Wang, Siyu Han ...",23 December 2020,2020
NGPINT: a next-generation protein–protein interaction software,"Sagnik Banerjee, Valeria Velásquez-Zapata, Gregory Fuerst, J Mitch Elmore, Roger P Wise",23 December 2020,2020
A review on viral data sources and search systems for perspective mitigation of COVID-19,"Anna Bernasconi, Arif Canakoglu, Marco Masseroli, Pietro Pinoli, Stefano Ceri",22 December 2020,2020
The impact of structural bioinformatics tools and resources on SARS-CoV-2 research and therapeutic strategies,"Vaishali P Waman, Neeladri Sen, Mihaly Varadi, Antoine Daina, Shoshana J Wodak ...",22 December 2020,2020
Dynamics of transcriptional and post-transcriptional regulation,"Mattia Furlan, Stefano de Pretis, Mattia Pelizzola",22 December 2020,2020
Topological network measures for drug repositioning,"Apurva Badkas, Sébastien De Landtsheer, Thomas Sauter",22 December 2020,2020
Deep inverse reinforcement learning for structural evolution of small molecules,"Brighter Agyemang, Wei-Ping Wu, Daniel Addo, Michael Y Kpiebaareh, Ebenezer Nanor ...",22 December 2020,2020
Inferring microenvironmental regulation of gene expression from single-cell RNA sequencing data using scMLnet with an application to COVID-19,"Jinyu Cheng, Ji Zhang, Zhongdao Wu, Xiaoqiang Sun",21 December 2020,2020
Current challenges for unseen-epitope TCR interaction prediction and a new perspective derived from image classification,"Pieter Moris, Joey De Pauw, Anna Postovskaya, Sofie Gielis, Nicolas De Neuter ...",21 December 2020,2020
Inferring microenvironmental regulation of gene expression from single-cell RNA sequencing data using scMLnet with an application to COVID-19,"Jinyu Cheng, Ji Zhang, Zhongdao Wu, Xiaoqiang Sun",21 December 2020,2020
PharmKG: a dedicated knowledge graph benchmark for bomedical data mining,"Shuangjia Zheng, Jiahua Rao, Ying Song, Jixian Zhang, Xianglu Xiao ...",21 December 2020,2020
A comprehensive survey on computational methods of non-coding RNA and disease association prediction,"Xiujuan Lei, Thosini Bamunu Mudiyanselage, Yuchen Zhang, Chen Bian, Wei Lan ...",21 December 2020,2020
Pyfastx: a robust Python package for fast random access to sequences from plain and gzipped FASTA/Q files,"Lianming Du, Qin Liu, Zhenxin Fan, Jie Tang, Xiuyue Zhang ...",21 December 2020,2020
Simulation of African and non-African low and high coverage whole genome sequence data to assess variant calling approaches,"Shatha Alosaimi, Noëlle van Biljon, Denis Awany, Prisca K Thami, Joel Defo ...",21 December 2020,2020
FireProtASR: A Web Server for Fully Automated Ancestral Sequence Reconstruction,"Milos Musil, Rayyan Tariq Khan, Andy Beier, Jan Stourac, Hannes Konegger ...",21 December 2020,2020
Highly accurate diagnosis of papillary thyroid carcinomas based on personalized pathways coupled with machine learning,"Kyoung Sik Park, Seong Hoon Kim, Jung Hun Oh, Sung Young Kim",19 December 2020,2020
Gene expression profiling of SARS-CoV-2 infections reveal distinct primary lung cell and systemic immune infection responses that identify pathways relevant in COVID-19 disease,"Mohammad Ali Moni, Julian M W Quinn, Nese Sinmaz, Matthew A Summers",18 December 2020,2020
Computational methods for annotation of plant regulatory non-coding RNAs using RNA-seq,"A T Vivek, Shailesh Kumar",18 December 2020,2020
Automation in signal management in pharmacovigilance—an insight,"Diksha Wadhwa, Keshav Kumar, Sonali Batra, Sumit Sharma",18 December 2020,2020
idenPC-CAP: Identify protein complexes from weighted RNA-protein heterogeneous interaction networks using co-assemble partner relation,"Zhourun Wu, Qing Liao, Shixi Fan, Bin Liu",18 December 2020,2020
Classification and characterization of multigene family proteins of African swine fever viruses,"Zhaozhong Zhu, Huiting Chen, Li Liu, Yang Cao, Taijiao Jiang ...",18 December 2020,2020
Robots as intelligent assistants to face COVID-19 pandemic,"Valeria Seidita, Francesco Lanza, Arianna Pipitone, Antonio Chella",17 December 2020,2020
CyanoPATH: a knowledgebase of genome-scale functional repertoire for toxic cyanobacterial blooms,"Wei Du, Gaoyang Li, Nicholas Ho, Landon Jenkins, Drew Hockaday ...",16 December 2020,2020
Protein subcellular localization based on deep image features and criterion learning strategy,"Ran Su, Linlin He, Tianling Liu, Xiaofeng Liu, Leyi Wei",16 December 2020,2020
Unveiling the immune infiltrate modulation in cancer and response to immunotherapy by MIXTURE—an enhanced deconvolution method,"Elmer A Fernández, Yamil D Mahmoud, Florencia Veigas, Darío Rocha, Matías Miranda ...",16 December 2020,2020
Novel ChIP-seq simulating program with superior versatility: isChIP,"Tatiana Subkhankulova, Fedor Naumenko, Oleg E Tolmachov, Yuriy L Orlov",16 December 2020,2020
Large-scale comparative review and assessment of computational methods for anti-cancer peptide identification,"Xiao Liang, Fuyi Li, Jinxiang Chen, Junlong Li, Hao Wu ...",15 December 2020,2020
LiBis: an ultrasensitive alignment augmentation for low-input bisulfite sequencing,"Yue Yin, Jia Li, Jin Li, Minjung Lee, Sibo Zhao ...",15 December 2020,2020
A fine-scale map of genome-wide recombination in divergent Escherichia coli population,"Yu Kang, Lina Yuan, Xing Shi, Yanan Chu, Zilong He ...",15 December 2020,2020
Dppa2/4 as a trigger of signaling pathways to promote zygote genome activation by binding to CG-rich region,"Hanshuang Li, Chunshen Long, Jinzhu Xiang, Pengfei Liang, Xueling Li ...",15 December 2020,2020
