title,authors,date,target year
Libra: scalable k-mer–based tool for massive all-vs-all metagenome comparisons,"Illyoung Choi, Alise J Ponsero, Matthew Bomhoff, Ken Youens-Clark, John H Hartman ...",28 December 2018,2018
LR_Gapcloser: a tiling path-based gap closer that uses long reads to complete genome assembly,"Gui-Cai Xu, Tian-Jun Xu, Rui Zhu, Yan Zhang, Shang-Qi Li ...",21 December 2018,2018
"Re-assembly, quality evaluation, and annotation of 678 microbial eukaryotic reference transcriptomes","Lisa K Johnson, Harriet Alexander, C Titus Brown",13 December 2018,2018
Keeping it light: (re)analyzing community-wide datasets without major infrastructure,"Harriet Alexander, Lisa K Johnson, C Titus Brown",13 December 2018,2018
"Calcium imaging, MEA recordings, and immunostaining images dataset of neuron-astrocyte networks in culture under the effect of norepinephrine","Yasmin Bar El, Sivan Kanner, Ari Barzilai, Yael Hanein",13 December 2018,2018
Efficient and accurate detection of splice junctions from RNA-seq with Portcullis,"Daniel Mapleson, Luca Venturini, Gemy Kaithakottil, David Swarbreck",12 December 2018,2018
BLINK: a package for the next level of genome-wide association studies with both individuals and markers in the millions,"Meng Huang, Xiaolei Liu, Yao Zhou, Ryan M Summers, Zhiwu Zhang",11 December 2018,2018
Correction to: Population-wide sampling of retrotransposon insertion polymorphisms using deep sequencing and efficient detection,"Qichao Yu, Wei Zhang, Xiaolong Zhang, Yongli Zeng, Yeming Wang ...",11 December 2018,2018
Human leukemia cells (HL-60) proteomic and biological signatures underpinning cryo-damage are differentially modulated by novel cryo-additives,"Noha A S Al-Otaibi, Juliana S Cassoli, Daniel Martins-de-Souza, Nigel K H Slater, Hassan Rahmoune",10 December 2018,2018
Lilikoi: an R package for personalized pathway-based classification modeling using metabolomics data,"Fadhl M AlAkwaa, Breck Yunits, Sijia Huang, Hassam Alhajaji, Lana X Garmire",10 December 2018,2018
"Divergent evolution in the genomes of closely related lacertids, Lacerta viridis and L. bilineata, and implications for speciation","Sree Rohit Raj Kolora, Anne Weigert, Amin Saffari, Stephanie Kehr, Maria Beatriz Walter Costa ...",10 December 2018,2018
Prot-SpaM: fast alignment-free phylogeny reconstruction based on whole-proteome sequences,"Chris-Andre Leimeister, Jendrik Schellhorn, Svenja Dörrer, Michael Gerth, Christoph Bleidorn ...",07 December 2018,2018
A micro X-ray computed tomography dataset of fossil echinoderms in an ancient obrution bed: a robust method for taphonomic and palaeoecologic analyses,"Mhairi Reid, Emese M Bordy, Wendy L Taylor, Stephan G le Roux, Anton du Plessis",07 December 2018,2018
"Genome of the small hive beetle (Aethina tumida, Coleoptera: Nitidulidae), a worldwide parasite of social bee colonies, provides insights into detoxification and herbivory","Jay D Evans, Duane McKenna, Erin Scully, Steven C Cook, Benjamin Dainat ...",07 December 2018,2018
Erratum to: Comparative performance of the BGISEQ-500 vs Illumina HiSeq2500 sequencing platforms for palaeogenomic sequencing,"Sarah Siu Tze Mak, Shyam Gopalakrishnan, Christian Carøe, Chunyu Geng, Shanlin Liu ...",07 December 2018,2018
PhenoMeNal: processing and analysis of metabolomics data in the cloud,"Kristian Peters, James Bradbury, Sven Bergmann, Marco Capuccini, Marta Cascante ...",07 December 2018,2018
The draft genomes of five agriculturally important African orphan crops,"Yue Chang, Huan Liu, Min Liu, Xuezhu Liao, Sunil Kumar Sahu ...",07 December 2018,2018
A databank for intracellular electrophysiological mapping of the adult somatosensory cortex,"Angelica da Silva Lantyer, Niccolò Calcini, Ate Bijlsma, Koen Kole, Melanie Emmelkamp ...",06 December 2018,2018
