title,authors,year,citations
The fungal pathogen Magnaporthe oryzae suppresses innate immunity by modulating a host potassium channel,"Xuetao Shi, Yu Long, Feng He, Chongyang Zhang, Ruyi Wang, Ting Zhang, Wei Wu, Zeyun Hao, Yi Wang, Guo-Liang Wang, Yuese Ning",2018,16
Recombinant PrPSc shares structural features with brain-derived PrPSc: Insights from limited proteolysis,"Alejandro M. Sevillano, Natalia Fernández-Borges, Neelam Younas, Fei Wang, Saioa R. Elezgarai, Susana Bravo, Ester Vázquez-Fernández, Isaac Rosa, Hasier Eraña, David Gil, Sonia Veiga, Enric Vidal, Melissa L. Erickson-Beltran, Esteban Guitián, Christopher J. Silva, Romolo Nonno, Jiyan Ma, Joaquín Castilla, Jesús R. Requena",2018,10
"ABCC6 plays a significant role in the transport of nilotinib and dasatinib, and contributes to TKI resistance in vitro, in both cell lines and primary patient mononuclear cells","Laura N. Eadie, Phuong Dang, Jarrad M. Goyne, Timothy P. Hughes, Deborah L. White",2018,4
Vesicular stomatitis forecasting based on Google Trends,"JianYing Wang, Tong Zhang, Yi Lu, GuangYa Zhou, Qin Chen, Bing Niu",2018,7
Integrative analysis of super enhancer SNPs for type 2 diabetes,"Weiping Sun, Sihong Yao, Jielong Tang, Shuai Liu, Juan Chen, Daqing Deng, Chunping Zeng",2018,4
Noninvasive measurement of dynamic brain signals using light penetrating the brain,"Osamu Hiwaki, Hideki Miyaguchi",2018,3
"Pre- and post-diagnosis physical activity, television viewing, and mortality among hematologic cancer survivors","Daniela Schmid, Gundula Behrens, Hannah Arem, Christina Hart, Wolfgang Herr, Carmen Jochem, Charles E. Matthews, Michael F. Leitzmann",2018,5
The impact of selection bias in randomized multi-arm parallel group clinical trials,"Diane Uschner, Ralf-Dieter Hilgers, Nicole Heussen",2018,5
Platelet activation and aggregation by the opportunistic pathogen Cutibacterium (Propionibacterium) acnes,"Frida Petersson, Ola Kilsgård, Oonagh Shannon, Rolf Lood",2018,3
Metabolic effect of bodyweight whole-body vibration in a 20-min exercise session: A crossover study using verified vibration stimulus,"Chiara Milanese, Valentina Cavedon, Marco Sandri, Enrico Tam, Francesco Piscitelli, Federico Boschi, Carlo Zancanaro",2018,6
Immunological non-response and low hemoglobin levels are predictors of incident tuberculosis among HIV-infected individuals on Truvada-based therapy in Botswana,"Lucy Mupfumi, Sikhulile Moyo, Kesaobaka Molebatsi, Prisca K. Thami, Motswedi Anderson, Tuelo Mogashoa, Thato Iketleng, Joseph Makhema, Ric Marlink, Ishmael Kasvosve, Max Essex, Rosemary M. Musonda, Simani Gaseitsiwe",2018,5
"Spatiotemporal patterns of the macrofaunal community structure in the East China Sea, off the coast of Zhejiang, China, and the impact of the Kuroshio Branch Current","Yong Xu, Fei Yu, Xinzheng Li, Lin Ma, Dong Dong, Qi Kou, Jixing Sui, Zhibin Gan, Lin Gong, Mei Yang, Yueyun Wang, Yue Sun, Jinbao Wang, Hongfa Wang",2018,6
Ant genera identification using an ensemble of convolutional neural networks,"Alan Caio R. Marques, Marcos M. Raimundo, Ellen Marianne B. Cavalheiro, Luis F. P. Salles, Christiano Lyra, Fernando J. Von Zuben",2018,6
"Effects of arecoline on proliferation of oral squamous cell carcinoma cells by dysregulating c-Myc and miR-22, directly targeting oncostatin M","Jureeporn Chuerduangphui, Tipaya Ekalaksananan, Ponlatham Chaiyarit, Natcha Patarapadungkit, Apinya Chotiyano, Bunkerd Kongyingyoes, Supannee Promthet, Chamsai Pientong",2018,15
The proteomic response of the reef coral Pocillopora acuta to experimentally elevated temperatures,"Anderson B. Mayfield, Yi-Jyun Chen, Chi-Yu Lu, Chii-Shiarng Chen",2018,20
