title,authors,year,citations
Correction: The emotion regulation effect of cognitive control is related to depressive state through the mediation of rumination: An ERP study,The PLOS ONE staff,2020,0
Mesocosm experiments to better understand hydrocarbon half-lives for oil and oil dispersant mixtures,"Maya E. Morales-McDevitt, Dawei Shi, Anthony H. Knap, Antonietta Quigg, Stephen T. Sweet, Jose L. Sericano, Terry L. Wade",2020,2
Determinants of dietary behaviour in wheelchair users with spinal cord injury or lower limb amputation: Perspectives of rehabilitation professionals and wheelchair users,"Jasmijn F. M. Holla, Lizanne E. van den Akker, Tessa Dadema, Sonja de Groot, Michael Tieland, Peter J. M. Weijs, Marije Deutekom, on behalf of the WHEELS-study group",2020,0
Insulin BBB pharmacokinetics in young apoE male and female transgenic mice,"Elizabeth M. Rhea, Eileen Ruth S. Torres, Jacob Raber, William A. Banks",2020,0
Brain activation during non-habitual speech production: Revisiting the effects of simulated disfluencies in fluent speakers,"Catherine Theys, Silvia Kovacs, Ronald Peeters, Tracy R. Melzer, Astrid van Wieringen, Luc F. De Nil",2020,0
Aspects of diastolic dysfunction in patients with new and recurrent depression,"Mariana Tudoran, Cristina Tudoran, Tudor Ciocarlie, Catalina Giurgi-Oncu",2020,2
Is the lady's-slipper orchid (Cypripedium calceolus) likely to shortly become extinct in Europe?—Insights based on ecological niche modelling,"Marta Kolanowska, Anna Jakubska-Busse",2020,4
Chronic exposure to diesel particles worsened emphysema and increased M2-like phenotype macrophages in a PPE-induced model,"Alyne Riani Moreira, Thamyres Barros Pereira de Castro, Júlia Benini Kohler, Juliana Tiyaki Ito, Larissa Emídio de França Silva, Juliana Dias Lourenço, Rafael Ribeiro Almeida, Fernanda Roncon Santana, Jose Mara Brito, Dolores Helena Rodriguez Ferreira Rivero, Maria Isabel Cardoso Alonso Vale, Carla Máximo Prado, Niels Olsen Saraiva Câmara, Paulo Hilário Nascimento Saldiva, Clarice Rosa Olivo, Fernanda Degobbi Tenorio Quirino dos Santos Lopes",2020,1
Measuring next of kin’s experience of participation in the care of older people in nursing homes,"Albert Westergren, Lina Behm, Tove Lindhardt, Magnus Persson, Gerd Ahlström",2020,1
Immune responses to Mycobacterium tuberculosis membrane-associated antigens including alpha crystallin can potentially discriminate between latent infection and active tuberculosis disease,"Shashi Kant Kumar, Suvrat Arya, Amita Aggarwal, Prerna Kapoor, Alok Nath, Ramnath Misra, Sudhir Sinha",2020,1
"The National Ambulance Surveillance System: A novel method for monitoring acute alcohol, illicit and pharmaceutical drug related-harms using coded Australian ambulance clinical records","Dan I. Lubman, Sharon Matthews, Cherie Heilbronn, Jessica J. Killian, Rowan P. Ogeil, Belinda Lloyd, Katrina Witt, Rose Crossin, Karen Smith, Emma Bosley, Rosemary Carney, Alex Wilson, Matthew Eastham, Toby Keene, Carol Shipp, Debbie Scott",2020,4
Comprehensive multimodality characterization of hemodynamically significant and non-significant coronary lesions using invasive and noninvasive measures,"Leif-Christopher Engel, Ulf Landmesser, Youssef S. Abdelwahed, Milosz Jaguszewski, Kevin Gigengack, Thomas-Heinrich Wurster, Carsten Skurk, Costantina Manes, Andreas Schuster, Michel Noutsias, Bernd Hamm, Rene M. Botnar, Marcus R. Makowski, Boris Bigalke",2020,0
Who does what the cardiologist recommends? Psychosocial markers of unhealthy behavior in coronary disease patients,"Mercedes Arrebola-Moreno, Dafina Petrova, María-José Sánchez, Ricardo Rivera-López, José Antonio Ramírez-Hernández",2020,0
Exogenous melatonin promotes seed germination and osmotic regulation under salt stress in cotton (Gossypium hirsutum L.),"Li Chen, Liantao Liu, Bin Lu, Tongtong Ma, Dan Jiang, Jin Li, Ke Zhang, Hongchun Sun, Yongjiang Zhang, Zhiying Bai, Cundong Li",2020,4
Growth rate assays reveal fitness consequences of β-lactamases,"Fabian Santiago, Evin Doscher, Jay Kim, Manel Camps, Juan Meza, Suzanne Sindi, Miriam Barlow",2020,0
Shorter birth intervals between siblings are associated with increased risk of parental divorce,"Venla Berg, Anneli Miettinen, Markus Jokela, Anna Rotkirch",2020,0
Elemental bioimaging shows mercury and other toxic metals in normal breast tissue and in breast cancers,"Roger Pamphlett, Laveniya Satgunaseelan, Stephen Kum Jew, Philip A. Doble, David P. Bishop",2020,3
Evaluation of the CareStart™ glucose-6-phosphate dehydrogenase (G6PD) rapid diagnostic test in the field settings and assessment of perceived risk from primaquine at the community level in Cambodia,"Bertha Wojnarski, Chanthap Lon, Darapiseth Sea, Somethy Sok, Sabaithip Sriwichai, Soklyda Chann, Sohei Hom, Threechada Boonchan, Sokna Ly, Chandara Sok, Samon Nou, Pheaktra Oung, Nareth Kong, Vannak Pheap, Khengheang Thay, Vy Dao, Worachet Kuntawunginn, Mitra Feldman, Panita Gosi, Nillawan Buathong, Mali Ittiverakul, Nichapat Uthaimongkol, Rekol Huy, Michele Spring, Dysoley Lek, Philip Smith, Mark M. Fukuda, Mariusz Wojnarski",2020,0
The experience of the self in Canadian youth living with anxiety: A qualitative study,"Roberta L. Woodgate, Ketan Tailor, Pauline Tennent, Pamela Wener, Gary Altman",2020,3
Gender differences in related influential factors of regular exercise behavior among people in Taiwan in 2007: A cross-sectional study,"Hsin-Yu Mao, Hui-Chuan Hsu, Shin-Da Lee",2020,4
Evaluation of mitochondrial DNA copy number estimation techniques,"Ryan J. Longchamps, Christina A. Castellani, Stephanie Y. Yang, Charles E. Newcomb, Jason A. Sumpter, John Lane, Megan L. Grove, Eliseo Guallar, Nathan Pankratz, Kent D. Taylor, Jerome I. Rotter, Eric Boerwinkle, Dan E. Arking",2020,9
Proteolysis activation of Cry1Ac and Cry2Ab protoxins by larval midgut juice proteases from Helicoverpa armigera,"Shaoyan Liu, Shuo Wang, Shuwen Wu, Yidong Wu, Yihua Yang",2020,1
The effect of enrofloxacin on enteric Escherichia coli: Fitting a mathematical model to in vivo data,"Samantha Erwin, Derek M. Foster, Megan E. Jacob, Mark G. Papich, Cristina Lanzas",2020,0
Towards the implementation of a DNA barcode library for the identification of Peruvian species of Anastrepha (Diptera: Tephritidae),"Ida Bartolini, Julio Rivera, Norma Nolazco, Arturo Olórtegui",2020,0
Evaluation of the cognitive-motor performance of adults with Duchenne Muscular Dystrophy in a hand-related task,"Kostas Nizamis, Wouter Schutte, Jan J. Grutters, Jasper Goseling, Noortje H. M. Rijken, Bart F. J. M. Koopman",2020,1
Community-intrinsic properties enhance keratin degradation from bacterial consortia,"Poonam Nasipuri, Jakob Herschend, Asker D. Brejnrod, Jonas S. Madsen, Roall Espersen, Birte Svensson, Mette Burmølle, Samuel Jacquiod, Søren J. Sørensen",2020,4
Genetic polymorphism in C3 is associated with progression in chronic kidney disease (CKD) patients with IgA nephropathy but not in other causes of CKD,"Sara T. Ibrahim, Rajkumar Chinnadurai, Ibrahim Ali, Debbie Payne, Gillian I. Rice, William G. Newman, Eman Algohary, Ahmed G. Adam, Philip A. Kalra",2020,1
Patterns of healthcare services utilization associated with intimate partner violence (IPV): Effects of IPV screening and receiving information on support services in a cohort of perinatal women,"Nihaya Daoud, Lotan Kraun, Ruslan Sergienko, Naama Batat, Ilana Shoham-Vardi, Nadav Davidovitch, Arnon Cohen",2020,0
Adapting a peer recovery coach-delivered behavioral activation intervention for problematic substance use in a medically underserved community in Baltimore City,"Emily N. Satinsky, Kelly Doran, Julia W. Felton, Mary Kleinman, Dwayne Dean, Jessica F. Magidson",2020,4
The impact of early adjuvant chemotherapy in rectal cancer,"Gyoung Tae Noh, Jeonghee Han, Min Soo Cho, Hyuk Hur, Kang Young Lee, Nam Kyu Kim, Byung Soh Min",2020,0
Facilitators and barriers to the implementation of a Mobile Health Wallet for pregnancy-related health care: A qualitative study of stakeholders’ perceptions in Madagascar,"Nadine Muller, Shannon A. McMahon, Jan-Walter De Neve, Alexej Funke, Till Bärnighausen, Elsa N. Rajemison, Etienne Lacroze, Julius V. Emmrich, Samuel Knauss",2020,0
Interactive guidelines: Public communication of data-based research in cities,"Sergio Trilles, Carlos Granell, Auriol Degbelo, Devanjan Bhattacharya",2020,1
"High prevalence of Phasi Charoen-like virus from wild-caught Aedes aegypti in Grenada, W.I. as revealed by metagenomic analysis","Maria E. Ramos-Nino, Daniel M. Fitzpatrick, Scott Tighe, Korin M. Eckstrom, Lindsey M. Hattaway, Andy N. Hsueh, Diana M. Stone, Julie Dragon, Sonia Cheetham",2020,1
When money talks: Judging risk and coercion in high-paying clinical trials,"Christina Leuker, Lasare Samartzidis, Ralph Hertwig, Timothy J. Pleskac",2020,0
Association between peak inspiratory flow rate and hand grip muscle strength in hospitalized patients with acute exacerbation of chronic obstructive pulmonary disease,"Arash Samarghandi, Octavian C. Ioachimescu, Rehan Qayyum",2020,1
Acute fatigue affects reaction times and reaction consistency in Mixed Martial Arts fighters,"Radim Pavelka, Vít Třebický, Jitka Třebická Fialová, Adam Zdobinský, Klára Coufalová, Jan Havlíček, James J. Tufano",2020,0
Pathologic properties of SOD3 variant R213G in the cardiovascular system through the altered neutrophils function,"Myung-Ja Kwon, Kyo-Young Lee, Won-Gug Ham, Lee-Jung Tak, Gaurav Agrahari, Tae-Yoon Kim",2020,0
Paths for colonization or exodus? New insights from the brown bear (Ursus arctos) population of the Cantabrian Mountains,"Inês Gregório, Tânia Barros, Doriana Pando, Joaquín Morante, Carlos Fonseca, Eduardo Ferreira",2020,2
Does early palliative identification improve the use of palliative care services?,"Nicole Mittmann, Ning Liu, Marnie MacKinnon, Soo Jin Seung, Nicole J. Look Hong, Craig C. Earle, Sharon Gradin, Saurabh Sati, Sandy Buchman, Ahmed Jakda, Frances C. Wright",2020,2
Structural patterns for transmedia storytelling,"Ryan Javanshir, Beth Carroll, David Millard",2020,0
Typology of coastal urban vulnerability under rapid urbanization,"Till Sterzel, Matthias K. B. Lüdeke, Carsten Walther, Marcel T. Kok, Diana Sietz, Paul L. Lucas",2020,3
A hierarchical Bayesian latent class mixture model with censorship for detection of linear temporal changes in antibiotic resistance,"Min Zhang, Chong Wang, Annette O’Connor",2020,1
Severe Strongyloides stercoralis infection in kidney transplant recipients: A multicenter case-control study,"Lísia Miglioli-Galvão, José Osmar Medina Pestana, Guilherme Lopes-Santoro, Renato Torres Gonçalves, Lúcio R. Requião Moura, Álvaro Pacheco Silva, Lígia Camera Pierrotti, Elias David Neto, Evelyne Santana Girão, Cláudia Maria Costa de Oliveira, Cely Saad Abboud, João Ítalo Dias França, Carolina Devite Bittante, Luci Corrêa, Luís Fernando Aranha Camargo",2020,1
"High cholera vaccination coverage following emergency campaign in Haiti: Results from a cluster survey in three rural Communes in the South Department, 2017","Ashley Sharp, Alexandre Blake, Jérôme Backx, Isabella Panunzi, Robert Barrais, Fabienne Nackers, Francisco Luquero, Yves Gaston Deslouches, Sandra Cohuet",2020,0
