title,authors,year,citations
Correction: Detection and Characterization of Metastatic Cancer Cells in the Mesogastrium of Gastric Cancer Patients,The PLOS ONE Staff,2016,0
Correction: Improving Facility Performance in Infectious Disease Care in Uganda: A Mixed Design Study with Pre/Post and Cluster Randomized Trial Components,"Marcia R. Weaver, Sarah M. Burnett, Ian Crozier, Stephen N. Kinoti, Ibrahim Kirunda, Martin K. Mbonye, Sarah Naikoba, Allan Ronald, Timothy Rubashembusya, Stella Zawedde, Kelly S. Willis",2016,0
Correction: Evaluating the Early Benefit of Quadrivalent HPV Vaccine on Genital Warts in Belgium: A Cohort Study,"Geraldine Dominiak-Felden, Corrado Gobbo, François Simondon",2016,0
Correction: Developing and Integrating Advanced Movement Features Improves Automated Classification of Ciliate Species,The PLOS ONE Staff,2016,0
Correction: Hyaluronic Acid Injections Are Associated with Delay of Total Knee Replacement Surgery in Patients with Knee Osteoarthritis: Evidence from a Large U.S. Health Claims Database,"Roy Altman, Sooyeol Lim, R. Grant Steen, Vinod Dasa",2016,1
"Correction: Simvastatin Attenuates Oxidative Stress, NF-κB Activation, and Artery Calcification in LDLR-/- Mice Fed with High Fat Diet via Down-regulation of Tumor Necrosis Factor-α and TNF Receptor 1","Chih-Pei Lin, Po-Hsun Huang, Chung Fang Lai, Jaw-Wen Chen, Shing-Jong Lin, Jia-Shiong Chen",2016,2
Correction: MicroRNA-486 as a Biomarker for Early Diagnosis and Recurrence of Non-Small Cell Lung Cancer,"Wanshuai Li, Yong Wang, Qi Zhang, Lili Tang, Xiaoping Liu, Yunhua Dai, Liang Xiao, Shuguang Huang, Lu Chen, Zhongmin Guo, Kai Yuan, Jim Lu",2016,2
Correction: Correction: Socio-Economic Differentials in Impoverishment Effects of Out-of-Pocket Health Expenditure in China and India: Evidence from WHO SAGE,The PLOS ONE Staff,2016,0
Correction: Quercetin Influences Quorum Sensing in Food Borne Bacteria: In-Vitro and In-Silico Evidence,The PLOS ONE Staff,2016,0
Correction: Zonisamide Enhances Neurite Elongation of Primary Motor Neurons and Facilitates Peripheral Nerve Regeneration In Vitro and in a Mouse Model,"Hideki Yagi, Bisei Ohkawara, Hiroaki Nakashima, Kenyu Ito, Mikito Tsushima, Hisao Ishii, Kimitoshi Noto, Kyotaro Ohta, Akio Masuda, Shiro Imagama, Naoki Ishiguro, Kinji Ohno",2016,1
Neuropsychological Impairment and Its Association with Violence Risk in Japanese Forensic Psychiatric Patients: A Case-Control Study,"Hirofumi Nishinaka, Jun Nakane, Takako Nagata, Atsushi Imai, Noriomi Kuroki, Noriko Sakikawa, Mayu Omori, Osamu Kuroda, Naotsugu Hirabayashi, Yoshito Igarashi, Kenji Hashimoto",2016,9
Transcriptional Analysis of T Cells Resident in Human Skin,"Jane Li, Moshe Olshansky, Francis R. Carbone, Joel Z. Ma",2016,17
"The Early-Acting Peroxin PEX19 Is Redundantly Encoded, Farnesylated, and Essential for Viability in Arabidopsis thaliana","Margaret M. McDonnell, Sarah E. Burkhart, Jerrad M. Stoddard, Zachary J. Wright, Lucia C. Strader, Bonnie Bartel",2016,10
Unique β-Glucuronidase Locus in Gut Microbiomes of Crohn’s Disease Patients and Unaffected First-Degree Relatives,"Karine Gloux, Jamila Anba-Mondoloni",2016,7
