title,year,citations
Correction: Improving Facility Performance in Infectious Disease Care in Uganda: A Mixed Design Study with Pre/Post and Cluster Randomized Trial Components,2016,0
Correction: Evaluating the Early Benefit of Quadrivalent HPV Vaccine on Genital Warts in Belgium: A Cohort Study,2016,0
Correction: Hyaluronic Acid Injections Are Associated with Delay of Total Knee Replacement Surgery in Patients with Knee Osteoarthritis: Evidence from a Large U.S. Health Claims Database,2016,1
"Correction: Simvastatin Attenuates Oxidative Stress, NF-κB Activation, and Artery Calcification in LDLR-/- Mice Fed with High Fat Diet via Down-regulation of Tumor Necrosis Factor-α and TNF Receptor 1",2016,2
Correction: MicroRNA-486 as a Biomarker for Early Diagnosis and Recurrence of Non-Small Cell Lung Cancer,2016,2
Correction: Zonisamide Enhances Neurite Elongation of Primary Motor Neurons and Facilitates Peripheral Nerve Regeneration In Vitro and in a Mouse Model,2016,1
Neuropsychological Impairment and Its Association with Violence Risk in Japanese Forensic Psychiatric Patients: A Case-Control Study,2016,9
Transcriptional Analysis of T Cells Resident in Human Skin,2016,17
"The Early-Acting Peroxin PEX19 Is Redundantly Encoded, Farnesylated, and Essential for Viability in Arabidopsis thaliana",2016,10
Unique β-Glucuronidase Locus in Gut Microbiomes of Crohn’s Disease Patients and Unaffected First-Degree Relatives,2016,7
Evolutionary Divergences in Root Exudate Composition among Ecologically-Contrasting Helianthus Species,2016,21
Intrahepatic Tissue Implantation Represents a Favorable Approach for Establishing Orthotopic Transplantation Hepatocellular Carcinoma Mouse Models,2016,8
Three-Dimensional Imaging of the Intracellular Fate of Plasmid DNA and Transgene Expression: ZsGreen1 and Tissue Clearing Method CUBIC Are an Optimal Combination for Multicolor Deep Imaging in Murine Tissues,2016,23
Region-Specific Defects of Respiratory Capacities in the Ndufs4(KO) Mouse Brain,2016,17
Melatonin Signaling Controls the Daily Rhythm in Blood Glucose Levels Independent of Peripheral Clocks,2016,26
Cth2 Protein Mediates Early Adaptation of Yeast Cells to Oxidative Stress Conditions,2016,6
Neighbourhood Deprivation and Outcomes of Stop Smoking Support – An Observational Study,2016,8
"Prader-Willi Critical Region, a Non-Translated, Imprinted Central Regulator of Bone Mass: Possible Role in Skeletal Abnormalities in Prader-Willi Syndrome",2016,15
"Validation of the Martin Method for Estimating Low-Density Lipoprotein Cholesterol Levels in Korean Adults: Findings from the Korea National Health and Nutrition Examination Survey, 2009-2011",2016,20
Sphingosine-1-Phosphate Induces Dose-Dependent Chemotaxis or Fugetaxis of T-ALL Blasts through S1P1 Activation,2016,2
"BJ-1108, a 6-Amino-2,4,5-Trimethylpyridin-3-ol Analog, Inhibits Serotonin-Induced Angiogenesis and Tumor Growth through PI3K/NOX Pathway",2016,16
Towards Validation of a New Computerised Test of Goal Neglect: Preliminary Evidence from Clinical and Neuroimaging Pilot Studies,2016,2
The Development and Validation of the Indian Family Violence and Control Scale,2016,12
Hepatic Macrosteatosis Is Partially Converted to Microsteatosis by Melatonin Supplementation in ob/ob Mice Non-Alcoholic Fatty Liver Disease,2016,33
The GTPase ARF6 Controls ROS Production to Mediate Angiotensin II-Induced Vascular Smooth Muscle Cell Proliferation,2016,25
A New Immunoassay for Detecting All Subtypes of Shiga Toxins Produced by Shiga Toxin-Producing E. coli in Ground Beef,2016,13
AMP-Activated Protein Kinase Regulates Oxidative Metabolism in Caenorhabditis elegans through the NHR-49 and MDT-15 Transcriptional Regulators,2016,24
Comparison of the Dynesys Dynamic Stabilization System and Posterior Lumbar Interbody Fusion for Lumbar Degenerative Disease,2016,16
ZMYND10 - Mutation Analysis in Slavic Patients with Primary Ciliary Dyskinesia,2016,8
A Familiar(ity) Problem: Assessing the Impact of Prerequisites and Content Familiarity on Student Learning,2016,6
Urine/Plasma Neutrophil Gelatinase Associated Lipocalin Ratio Is a Sensitive and Specific Marker of Subclinical Acute Kidney Injury in Mice,2016,18
Reduced CYFIP1 in Human Neural Progenitors Results in Dysregulation of Schizophrenia and Epilepsy Gene Networks,2016,17
Expression Profile of Cytokines and Enzymes mRNA in Blood Leukocytes of Dogs with Leptospirosis and Its Associated Pulmonary Hemorrhage Syndrome,2016,8
Probing Coagulation Behavior of Individual Aluminum Species for Removing Corresponding Disinfection Byproduct Precursors: The Role of Specific Ultraviolet Absorbance,2016,3
Histatin-1 Expression in Human Lacrimal Epithelium,2016,9
Sublethal Toxicity Endpoints of Heavy Metals to the Nematode Caenorhabditis elegans,2016,30
Sustainable Cost Models for mHealth at Scale: Modeling Program Data from m4RH Tanzania,2016,14
Psychological Differences toward Pedestrian Red Light Crossing between University Students and Their Peers,2016,1
Enzymes for Pancreatic Islet Isolation Impact Chemokine-Production and Polarization of Insulin-Producing β-Cells with Reduced Functional Survival of Immunoisolated Rat Islet-Allografts as a Consequence,2016,17
"In Vivo Transplantation of Enteric Neural Crest Cells into Mouse Gut; Engraftment, Functional Integration and Long-Term Safety",2016,30
Association between Dietary Vitamin C Intake and Non-Alcoholic Fatty Liver Disease: A Cross-Sectional Study among Middle-Aged and Older Adults,2016,22
Characterization and Expression of the Lucina pectinata Oxygen and Sulfide Binding Hemoglobin Genes,2016,4
Classification of Asthma Based on Nonlinear Analysis of Breathing Pattern,2016,28
Opioid Use and Storage Patterns by Patients after Hospital Discharge following Surgery,2016,166
"RNA Whole-Mount In situ Hybridisation Proximity Ligation Assay (rISH-PLA), an Assay for Detecting RNA-Protein Complexes in Intact Cells",2016,9
Interactions of Environmental Factors and APOA1-APOC3-APOA4-APOA5 Gene Cluster Gene Polymorphisms with Metabolic Syndrome,2016,20
Comparative Analysis of Genome Diversity in Bullmastiff Dogs,2016,13
Marathon: An Open Source Software Library for the Analysis of Markov-Chain Monte Carlo Algorithms,2016,3
