name,title,year,citations
aaron g schmidt,Correction: Small-Molecule Inhibitors of Dengue-Virus Entry,2019,0
kyungae lee,Correction: Small-Molecule Inhibitors of Dengue-Virus Entry,2019,0
priscilla l yang,Correction: Small-Molecule Inhibitors of Dengue-Virus Entry,2019,0
stephen c harrison,Correction: Small-Molecule Inhibitors of Dengue-Virus Entry,2019,0
loryn holokai,Increased Programmed Death-Ligand 1 is an Early Epithelial Cell Response to Helicobacter pylori Infection,2019,24
jayati chakrabarti,Increased Programmed Death-Ligand 1 is an Early Epithelial Cell Response to Helicobacter pylori Infection,2019,24
taylor broda,Increased Programmed Death-Ligand 1 is an Early Epithelial Cell Response to Helicobacter pylori Infection,2019,24
julie chang,Increased Programmed Death-Ligand 1 is an Early Epithelial Cell Response to Helicobacter pylori Infection,2019,24
jennifer a hawkins,Increased Programmed Death-Ligand 1 is an Early Epithelial Cell Response to Helicobacter pylori Infection,2019,24
nambirajan sundaram,Increased Programmed Death-Ligand 1 is an Early Epithelial Cell Response to Helicobacter pylori Infection,2019,24
lydia e wroblewski,Increased Programmed Death-Ligand 1 is an Early Epithelial Cell Response to Helicobacter pylori Infection,2019,24
richard m peek jr,Increased Programmed Death-Ligand 1 is an Early Epithelial Cell Response to Helicobacter pylori Infection,2019,24
jiang wang,Increased Programmed Death-Ligand 1 is an Early Epithelial Cell Response to Helicobacter pylori Infection,2019,24
michael helmrath,Increased Programmed Death-Ligand 1 is an Early Epithelial Cell Response to Helicobacter pylori Infection,2019,24
james m wells,Increased Programmed Death-Ligand 1 is an Early Epithelial Cell Response to Helicobacter pylori Infection,2019,24
yana zavros,Increased Programmed Death-Ligand 1 is an Early Epithelial Cell Response to Helicobacter pylori Infection,2019,24
kevin j hart,Plasmodium male gametocyte development and transmission are critically regulated by the two putative deadenylases of the CAF1/CCR4/NOT complex,2019,3
jenna oberstaller,Plasmodium male gametocyte development and transmission are critically regulated by the two putative deadenylases of the CAF1/CCR4/NOT complex,2019,3
michael p walker,Plasmodium male gametocyte development and transmission are critically regulated by the two putative deadenylases of the CAF1/CCR4/NOT complex,2019,3
allen m minns,Plasmodium male gametocyte development and transmission are critically regulated by the two putative deadenylases of the CAF1/CCR4/NOT complex,2019,3
mark f kennedy,Plasmodium male gametocyte development and transmission are critically regulated by the two putative deadenylases of the CAF1/CCR4/NOT complex,2019,3
ian padykula,Plasmodium male gametocyte development and transmission are critically regulated by the two putative deadenylases of the CAF1/CCR4/NOT complex,2019,3
john h adams,Plasmodium male gametocyte development and transmission are critically regulated by the two putative deadenylases of the CAF1/CCR4/NOT complex,2019,3
scott e lindner,Plasmodium male gametocyte development and transmission are critically regulated by the two putative deadenylases of the CAF1/CCR4/NOT complex,2019,3
reham shehabeldin,Correction: Reelin controls the positioning of brainstem serotonergic raphe neurons,2019,0
david lutz,Correction: Reelin controls the positioning of brainstem serotonergic raphe neurons,2019,0
meliha karsak,Correction: Reelin controls the positioning of brainstem serotonergic raphe neurons,2019,0
michael frotscher,Correction: Reelin controls the positioning of brainstem serotonergic raphe neurons,2019,0
kerstin krieglstein,Correction: Reelin controls the positioning of brainstem serotonergic raphe neurons,2019,0
ahmed sharaf,Correction: Reelin controls the positioning of brainstem serotonergic raphe neurons,2019,0
dapeng xiong,Correction: Towards a Better Detection of Horizontally Transferred Genes by Combining Unusual Properties Effectively,2019,0
fen xiao,Correction: Towards a Better Detection of Horizontally Transferred Genes by Combining Unusual Properties Effectively,2019,0
li liu,Correction: Towards a Better Detection of Horizontally Transferred Genes by Combining Unusual Properties Effectively,2019,0
kai hu,Correction: Towards a Better Detection of Horizontally Transferred Genes by Combining Unusual Properties Effectively,2019,0
yanping tan,Correction: Towards a Better Detection of Horizontally Transferred Genes by Combining Unusual Properties Effectively,2019,0
shunmin he,Correction: Towards a Better Detection of Horizontally Transferred Genes by Combining Unusual Properties Effectively,2019,0
xieping gao,Correction: Towards a Better Detection of Horizontally Transferred Genes by Combining Unusual Properties Effectively,2019,0
hang li,A meta-analysis of anti-interleukin-13 monoclonal antibodies for uncontrolled asthma,2019,7
kai wang,A meta-analysis of anti-interleukin-13 monoclonal antibodies for uncontrolled asthma,2019,7
huiting huang,A meta-analysis of anti-interleukin-13 monoclonal antibodies for uncontrolled asthma,2019,7
wenbin cheng,A meta-analysis of anti-interleukin-13 monoclonal antibodies for uncontrolled asthma,2019,7
xiaohong liu,A meta-analysis of anti-interleukin-13 monoclonal antibodies for uncontrolled asthma,2019,7
vedavathi madhu,Correction: BMP-Non-Responsive Sca1+CD73+CD44+ Mouse Bone Marrow Derived Osteoprogenitor Cells Respond to Combination of VEGF and BMP-6 to Display Enhanced Osteoblastic Differentiation and Ectopic Bone Formation,2019,0
chingju li,Correction: BMP-Non-Responsive Sca1+CD73+CD44+ Mouse Bone Marrow Derived Osteoprogenitor Cells Respond to Combination of VEGF and BMP-6 to Display Enhanced Osteoblastic Differentiation and Ectopic Bone Formation,2019,0
abhijit s dighe,Correction: BMP-Non-Responsive Sca1+CD73+CD44+ Mouse Bone Marrow Derived Osteoprogenitor Cells Respond to Combination of VEGF and BMP-6 to Display Enhanced Osteoblastic Differentiation and Ectopic Bone Formation,2019,0
gary balian,Correction: BMP-Non-Responsive Sca1+CD73+CD44+ Mouse Bone Marrow Derived Osteoprogenitor Cells Respond to Combination of VEGF and BMP-6 to Display Enhanced Osteoblastic Differentiation and Ectopic Bone Formation,2019,0
quanjun cui,Correction: BMP-Non-Responsive Sca1+CD73+CD44+ Mouse Bone Marrow Derived Osteoprogenitor Cells Respond to Combination of VEGF and BMP-6 to Display Enhanced Osteoblastic Differentiation and Ectopic Bone Formation,2019,0
hasan alhaddad,"Quality and quantity of dromedary camel DNA sampled from whole-blood, saliva, and tail-hair",2019,4
tasneem maraqa,"Quality and quantity of dromedary camel DNA sampled from whole-blood, saliva, and tail-hair",2019,4
suha alabdulghafour,"Quality and quantity of dromedary camel DNA sampled from whole-blood, saliva, and tail-hair",2019,4
huda alaskar,"Quality and quantity of dromedary camel DNA sampled from whole-blood, saliva, and tail-hair",2019,4
randa alaqeely,"Quality and quantity of dromedary camel DNA sampled from whole-blood, saliva, and tail-hair",2019,4
faisal almathen,"Quality and quantity of dromedary camel DNA sampled from whole-blood, saliva, and tail-hair",2019,4
bader h alhajeri,"Quality and quantity of dromedary camel DNA sampled from whole-blood, saliva, and tail-hair",2019,4
lucas dhomlemos,Leishmania infantum recombinant kinesin degenerated derived repeat (rKDDR): A novel potential antigen for serodiagnosis of visceral leishmaniasis,2019,12
agostinho gonçalves viana,Leishmania infantum recombinant kinesin degenerated derived repeat (rKDDR): A novel potential antigen for serodiagnosis of visceral leishmaniasis,2019,12
joão luis reis cunha,Leishmania infantum recombinant kinesin degenerated derived repeat (rKDDR): A novel potential antigen for serodiagnosis of visceral leishmaniasis,2019,12
mariana santos cardoso,Leishmania infantum recombinant kinesin degenerated derived repeat (rKDDR): A novel potential antigen for serodiagnosis of visceral leishmaniasis,2019,12
tiago antônio oliveira mendes,Leishmania infantum recombinant kinesin degenerated derived repeat (rKDDR): A novel potential antigen for serodiagnosis of visceral leishmaniasis,2019,12
guilherme rafael gomide pinheiro,Leishmania infantum recombinant kinesin degenerated derived repeat (rKDDR): A novel potential antigen for serodiagnosis of visceral leishmaniasis,2019,12
williane fernanda siqueira,Leishmania infantum recombinant kinesin degenerated derived repeat (rKDDR): A novel potential antigen for serodiagnosis of visceral leishmaniasis,2019,12
francisco pereira lobo,Leishmania infantum recombinant kinesin degenerated derived repeat (rKDDR): A novel potential antigen for serodiagnosis of visceral leishmaniasis,2019,12
leandro freitas teles,Leishmania infantum recombinant kinesin degenerated derived repeat (rKDDR): A novel potential antigen for serodiagnosis of visceral leishmaniasis,2019,12
lilian lacerda bueno,Leishmania infantum recombinant kinesin degenerated derived repeat (rKDDR): A novel potential antigen for serodiagnosis of visceral leishmaniasis,2019,12
silvio fernando guimarãescarvalho,Leishmania infantum recombinant kinesin degenerated derived repeat (rKDDR): A novel potential antigen for serodiagnosis of visceral leishmaniasis,2019,12
daniella castanheira bartholomeu,Leishmania infantum recombinant kinesin degenerated derived repeat (rKDDR): A novel potential antigen for serodiagnosis of visceral leishmaniasis,2019,12
ricardo toshio fujiwara,Leishmania infantum recombinant kinesin degenerated derived repeat (rKDDR): A novel potential antigen for serodiagnosis of visceral leishmaniasis,2019,12
susan dierickx,‘We are always desperate and will try anything to conceive’: The convoluted and dynamic process of health seeking among women with infertility in the West Coast Region of The Gambia,2019,4
julie balen,‘We are always desperate and will try anything to conceive’: The convoluted and dynamic process of health seeking among women with infertility in the West Coast Region of The Gambia,2019,4
chia longman,‘We are always desperate and will try anything to conceive’: The convoluted and dynamic process of health seeking among women with infertility in the West Coast Region of The Gambia,2019,4
ladan rahbari,‘We are always desperate and will try anything to conceive’: The convoluted and dynamic process of health seeking among women with infertility in the West Coast Region of The Gambia,2019,4
ed clarke,‘We are always desperate and will try anything to conceive’: The convoluted and dynamic process of health seeking among women with infertility in the West Coast Region of The Gambia,2019,4
bintou jarju,‘We are always desperate and will try anything to conceive’: The convoluted and dynamic process of health seeking among women with infertility in the West Coast Region of The Gambia,2019,4
gily coene,‘We are always desperate and will try anything to conceive’: The convoluted and dynamic process of health seeking among women with infertility in the West Coast Region of The Gambia,2019,4
masahiko ayaki,Latanoprost could exacerbate the progression of presbyopia,2019,1
yukari tsuneyoshi,Latanoprost could exacerbate the progression of presbyopia,2019,1
kenya yuki,Latanoprost could exacerbate the progression of presbyopia,2019,1
kazuo tsubota,Latanoprost could exacerbate the progression of presbyopia,2019,1
kazuno negishi,Latanoprost could exacerbate the progression of presbyopia,2019,1
corinna m perchtold,"Humorous cognitive reappraisal: More benign humour and less ""dark"" humour is affiliated with more adaptive cognitive reappraisal strategies",2019,10
elisabeth m weiss,"Humorous cognitive reappraisal: More benign humour and less ""dark"" humour is affiliated with more adaptive cognitive reappraisal strategies",2019,10
christian rominger,"Humorous cognitive reappraisal: More benign humour and less ""dark"" humour is affiliated with more adaptive cognitive reappraisal strategies",2019,10
kurt feyaerts,"Humorous cognitive reappraisal: More benign humour and less ""dark"" humour is affiliated with more adaptive cognitive reappraisal strategies",2019,10
willibald ruch,"Humorous cognitive reappraisal: More benign humour and less ""dark"" humour is affiliated with more adaptive cognitive reappraisal strategies",2019,10
andreas fink,"Humorous cognitive reappraisal: More benign humour and less ""dark"" humour is affiliated with more adaptive cognitive reappraisal strategies",2019,10
ilona papousek,"Humorous cognitive reappraisal: More benign humour and less ""dark"" humour is affiliated with more adaptive cognitive reappraisal strategies",2019,10
yohei kamikawa,Predicting in-hospital mortality among non-trauma patients based on vital sign changes between prehospital and in-hospital: An observational cohort study,2019,3
hiroyuki hayashi,Predicting in-hospital mortality among non-trauma patients based on vital sign changes between prehospital and in-hospital: An observational cohort study,2019,3
imjai chitapanarux,Clinical outcomes and dosimetric study of hypofractionated Helical TomoTherapy in breast cancer patients,2019,6
wannapha nobnop,Clinical outcomes and dosimetric study of hypofractionated Helical TomoTherapy in breast cancer patients,2019,6
damrongsak tippanya,Clinical outcomes and dosimetric study of hypofractionated Helical TomoTherapy in breast cancer patients,2019,6
patumrat sripan,Clinical outcomes and dosimetric study of hypofractionated Helical TomoTherapy in breast cancer patients,2019,6
somvilai chakrabandhu,Clinical outcomes and dosimetric study of hypofractionated Helical TomoTherapy in breast cancer patients,2019,6
pitchayaponne klunklin,Clinical outcomes and dosimetric study of hypofractionated Helical TomoTherapy in breast cancer patients,2019,6
wimrak onchan,Clinical outcomes and dosimetric study of hypofractionated Helical TomoTherapy in breast cancer patients,2019,6
bongkot jiamahasap,Clinical outcomes and dosimetric study of hypofractionated Helical TomoTherapy in breast cancer patients,2019,6
