name,title,year,citations
barbara navaza,Provider-Initiated HIV Testing for Migrants in Spain: A Qualitative Study with Health Care Workers and Foreign-Born Sexual Minorities,2016,9
bruno abarca,Provider-Initiated HIV Testing for Migrants in Spain: A Qualitative Study with Health Care Workers and Foreign-Born Sexual Minorities,2016,9
federico bisoffi,Provider-Initiated HIV Testing for Migrants in Spain: A Qualitative Study with Health Care Workers and Foreign-Born Sexual Minorities,2016,9
robert pool,Provider-Initiated HIV Testing for Migrants in Spain: A Qualitative Study with Health Care Workers and Foreign-Born Sexual Minorities,2016,9
maria roura,Provider-Initiated HIV Testing for Migrants in Spain: A Qualitative Study with Health Care Workers and Foreign-Born Sexual Minorities,2016,9
anna m nordenskjöld,Unrecognized Myocardial Infarction Assessed by Cardiac Magnetic Resonance Imaging – Prognostic Implications,2016,7
per hammar,Unrecognized Myocardial Infarction Assessed by Cardiac Magnetic Resonance Imaging – Prognostic Implications,2016,7
håkan ahlström,Unrecognized Myocardial Infarction Assessed by Cardiac Magnetic Resonance Imaging – Prognostic Implications,2016,7
tomas bjerner,Unrecognized Myocardial Infarction Assessed by Cardiac Magnetic Resonance Imaging – Prognostic Implications,2016,7
olov duvernoy,Unrecognized Myocardial Infarction Assessed by Cardiac Magnetic Resonance Imaging – Prognostic Implications,2016,7
kai m eggers,Unrecognized Myocardial Infarction Assessed by Cardiac Magnetic Resonance Imaging – Prognostic Implications,2016,7
ole fröbert,Unrecognized Myocardial Infarction Assessed by Cardiac Magnetic Resonance Imaging – Prognostic Implications,2016,7
nermin hadziosmanovic,Unrecognized Myocardial Infarction Assessed by Cardiac Magnetic Resonance Imaging – Prognostic Implications,2016,7
bertil lindahl,Unrecognized Myocardial Infarction Assessed by Cardiac Magnetic Resonance Imaging – Prognostic Implications,2016,7
wei liu,Quality Evaluation of Potentilla fruticosa L. by High Performance Liquid Chromatography Fingerprinting Associated with Chemometric Methods,2016,13
dongmei wang,Quality Evaluation of Potentilla fruticosa L. by High Performance Liquid Chromatography Fingerprinting Associated with Chemometric Methods,2016,13
jianjun liu,Quality Evaluation of Potentilla fruticosa L. by High Performance Liquid Chromatography Fingerprinting Associated with Chemometric Methods,2016,13
dengwu li,Quality Evaluation of Potentilla fruticosa L. by High Performance Liquid Chromatography Fingerprinting Associated with Chemometric Methods,2016,13
dongxue yin,Quality Evaluation of Potentilla fruticosa L. by High Performance Liquid Chromatography Fingerprinting Associated with Chemometric Methods,2016,13
james s mclay,'Asking the Right Question'. A Comparison of Two Approaches to Gathering Data on 'Herbals' Use in Survey Based Studies,2016,4
abdul r pallivalappila,'Asking the Right Question'. A Comparison of Two Approaches to Gathering Data on 'Herbals' Use in Survey Based Studies,2016,4
ashalatha shetty,'Asking the Right Question'. A Comparison of Two Approaches to Gathering Data on 'Herbals' Use in Survey Based Studies,2016,4
binita pande,'Asking the Right Question'. A Comparison of Two Approaches to Gathering Data on 'Herbals' Use in Survey Based Studies,2016,4
moza al hail,'Asking the Right Question'. A Comparison of Two Approaches to Gathering Data on 'Herbals' Use in Survey Based Studies,2016,4
derek stewart,'Asking the Right Question'. A Comparison of Two Approaches to Gathering Data on 'Herbals' Use in Survey Based Studies,2016,4
thomas g brown,"Personality, Executive Control, and Neurobiological Characteristics Associated with Different Forms of Risky Driving",2016,37
marie claude ouimet,"Personality, Executive Control, and Neurobiological Characteristics Associated with Different Forms of Risky Driving",2016,37
manal eldeb,"Personality, Executive Control, and Neurobiological Characteristics Associated with Different Forms of Risky Driving",2016,37
jacques tremblay,"Personality, Executive Control, and Neurobiological Characteristics Associated with Different Forms of Risky Driving",2016,37
evelyn vingilis,"Personality, Executive Control, and Neurobiological Characteristics Associated with Different Forms of Risky Driving",2016,37
louise nadeau,"Personality, Executive Control, and Neurobiological Characteristics Associated with Different Forms of Risky Driving",2016,37
jens pruessner,"Personality, Executive Control, and Neurobiological Characteristics Associated with Different Forms of Risky Driving",2016,37
antoine bechara,"Personality, Executive Control, and Neurobiological Characteristics Associated with Different Forms of Risky Driving",2016,37
